mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0055448240531301065,0.8,8.87506890296936,32,0.01656546777329193,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,268.5326955318451,1
0.0037375578699598536,1.0,14.383197784423828,64,0.012943593998488878,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,357.93758368492126,1
0.011214638508521082,0.8,15.901474475860596,128,0.006894052491597691,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,272.33597564697266,1
0.0036231639882931188,0.8,31.866755485534668,256,0.0034967165704553604,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,357.55758452415466,1
0.003577457492179902,1.0,68.26823019981384,512,0.0015382529440861603,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,512,440.09305143356323,1
0.010495281198863633,1.0,3.1500089168548584,32,0.022005272980575086,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,268.86028361320496,1
0.0032174157818197287,0.8,19.063668251037598,64,0.010058454809210304,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,353.728556394577,1
0.0051955073440439715,0.8,19.668335914611816,128,0.0053627747323997665,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,355.1770911216736,1
0.0039127417330323214,1.0,36.393903493881226,256,0.002840005605490248,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,353.29918336868286,1
0.004433861889145948,1.0,78.01343441009521,512,0.0017831065485072184,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,512,438.1919436454773,1
0.009005030739910888,0.8,6.086608409881592,32,0.01824974912049826,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,272.4078049659729,1
0.00877812259684919,0.8,12.940201997756958,64,0.009565632041665939,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,438.4352948665619,1
0.009131006781689249,1.0,28.60988163948059,128,0.007845271799597264,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,358.2639937400818,1
0.004759161083739475,1.0,43.19735646247864,256,0.006098523156294111,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,521.4824178218842,1
