mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.011949941886232484,0.6664062500000001,4572.6881947517395,32,0.01656546777329193,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,281.0173547267914,1
0.008689720380735321,0.8127929687500001,8250.666599988937,64,0.012943593998488878,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,366.6628782749176,1
0.008723661174632927,0.828076171875,15130.214640378952,128,0.006894052491597691,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,280.51307010650635,1
0.007233322526978891,0.8647460937500001,29302.60793042183,256,0.0034967165704553604,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,367.33667063713074,1
0.006590775077121013,0.878662109375,56349.42466545105,512,0.0015382529440861603,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,454.3559539318085,1
0.012035224431550523,0.658447265625,4808.306725263596,32,0.022005272980575086,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,280.63895416259766,1
0.008256306523302993,0.8253417968750001,8387.631075620651,64,0.010058454809210304,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,364.4791610240936,1
0.007319611460954814,0.857373046875,15483.872802972794,128,0.0053627747323997665,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,371.319876909256,1
0.0066372813386965015,0.8475097656250001,29368.467441558838,256,0.002840005605490248,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,358.85059571266174,1
0.006388953429948404,0.845458984375,57094.45693182945,512,0.0017831065485072184,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,458.2638792991638,1
0.011477740819260406,0.730078125,4802.780239582062,32,0.01824974912049826,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,272.79838585853577,1
0.010220073366111906,0.7903808593750001,8160.2153515815735,64,0.009565632041665939,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,456.2656171321869,1
0.009554265947253159,0.7939453125,15450.120129823685,128,0.007845271799597264,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,375.15501642227173,1
0.006887922718300754,0.8766601562500002,27727.68630552292,256,0.006098523156294111,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,542.2676203250885,1
