g,num_bins,execution_time_sec,compressed_size,mmd_score,success
0,1,0.002841949462890625,64,0.00012819759613136306,True
1,1,0.009476184844970703,128,4.8544084865431714e-05,True
2,1,0.03449082374572754,256,2.144162599693189e-05,True
3,1,0.14740610122680664,512,2.0264535786074234e-05,True
4,1,0.3096768856048584,1024,1.9880739017041904e-05,True
5,1,0.5716068744659424,2048,1.705554210129634e-05,True
6,1,0.0004239082336425781,4096,1.618784844503729e-05,True
7,1,0.00047779083251953125,4096,1.618784844503729e-05,True
0,4,0.0031630992889404297,128,0.00010338206334847833,True
1,4,0.015133142471313477,256,6.306644140763318e-05,True
2,4,0.030287981033325195,512,1.8046536707005956e-05,True
3,4,0.09086203575134277,1024,1.8938837143878118e-05,True
4,4,0.16872787475585938,2048,1.4801723841939562e-05,True
5,4,0.0004668235778808594,4096,1.618784844503729e-05,True
6,4,0.00038909912109375,4096,1.618784844503729e-05,True
7,4,0.00042176246643066406,4096,1.618784844503729e-05,True
0,16,0.0027151107788085938,256,0.00010900047694351045,True
1,16,0.006046772003173828,512,4.616754771946674e-05,True
2,16,0.02089691162109375,1024,1.619872387736976e-05,True
3,16,0.04255318641662598,2048,1.6413155381256317e-05,True
4,16,0.0004589557647705078,4096,1.618784844503729e-05,True
5,16,0.00043511390686035156,4096,1.618784844503729e-05,True
6,16,0.0004391670227050781,4096,1.618784844503729e-05,True
7,16,0.0004489421844482422,4096,1.618784844503729e-05,True
0,32,0.005243062973022461,512,3.079040343645367e-05,True
1,32,0.021191120147705078,1024,1.0782275949861031e-05,True
2,32,0.04818987846374512,2048,2.7920998912911443e-06,True
3,32,0.06611108779907227,4096,1.7200898563274336e-06,True
4,32,0.000743865966796875,8192,1.478125969178734e-06,True
5,32,0.0006997585296630859,8192,1.478125969178734e-06,True
6,32,0.0009479522705078125,8192,1.478125969178734e-06,True
7,32,0.0008938312530517578,8192,1.478125969178734e-06,True
0,64,0.0019321441650390625,512,4.614806605673927e-05,True
1,64,0.005709171295166016,1024,1.7405306283135857e-05,True
2,64,0.013221979141235352,2048,1.6129848838808414e-05,True
3,64,0.0004451274871826172,4096,1.618784844503729e-05,True
4,64,0.0009000301361083984,4096,1.618784844503729e-05,True
5,64,0.00043582916259765625,4096,1.618784844503729e-05,True
6,64,0.00038909912109375,4096,1.618784844503729e-05,True
7,64,0.0004329681396484375,4096,1.618784844503729e-05,True
0,128,0.00454401969909668,1024,2.6877843397610235e-05,True
1,128,0.018642902374267578,2048,1.1566505153215445e-05,True
2,128,0.026510238647460938,4096,2.4618914145069226e-06,True
3,128,0.0007960796356201172,8192,1.478125969178734e-06,True
4,128,0.0008900165557861328,8192,1.478125969178734e-06,True
5,128,0.0008623600006103516,8192,1.478125969178734e-06,True
6,128,0.0006289482116699219,8192,1.478125969178734e-06,True
7,128,0.0012106895446777344,8192,1.478125969178734e-06,True
0,256,0.001519918441772461,1024,3.4972381716569245e-05,True
1,256,0.005390167236328125,2048,2.098881652057294e-05,True
2,256,0.00046896934509277344,4096,1.618784844503729e-05,True
3,256,0.0004341602325439453,4096,1.618784844503729e-05,True
4,256,0.00038886070251464844,4096,1.618784844503729e-05,True
5,256,0.0006539821624755859,4096,1.618784844503729e-05,True
6,256,0.00038886070251464844,4096,1.618784844503729e-05,True
7,256,0.00038504600524902344,4096,1.618784844503729e-05,True
