mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0030098611659605,0.55029296875,6429.233186244965,32,0.03102793757616734,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,652.5681884288788,1
0.002564075578663258,0.62236328125,11534.477600336075,64,0.014236455369756373,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,514.264261007309,1
0.002278400530548219,0.666357421875,21984.850422620773,128,0.007969213026261357,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,929.0781564712524,1
0.002158597161157576,0.677734375,42798.06393265724,256,0.00571362071909387,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,513.193350315094,1
0.002062271038217981,0.701904296875,84184.52365708351,512,0.003562026235451987,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,651.1673283576965,1
0.0031693624170976804,0.50927734375,6329.519744157791,32,0.031805843541053536,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,512.8062210083008,1
0.002566437316926689,0.620654296875,11507.982851028442,64,0.01707752407673485,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,923.2173452377319,1
0.002270221632278027,0.6643554687500001,21950.68377494812,128,0.006485976616926015,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,516.6549208164215,1
0.0021168459654382172,0.694921875,42958.92199063301,256,0.004377046970775178,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,786.5139503479004,1
0.0020670590472020496,0.704052734375,85391.09498786926,512,0.0034058109327200214,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,514.6684789657593,1
0.00303259242432942,0.5492187500000001,6395.590091228485,32,0.02255510825856094,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,649.7382142543793,1
0.002535486491925915,0.6421874999999999,11934.158912420273,64,0.011177881855069904,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,654.2489144802094,1
0.0022857865169613103,0.6581054687500001,22143.719608068466,128,0.007238952252132003,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,652.1962177753448,1
0.00212970658207886,0.686328125,43068.31094932556,256,0.004737816026404329,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,651.7982301712036,1
0.0020599243169071506,0.701513671875,84168.81076908112,512,0.004053447441406066,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,513.9297840595245,1
0.0029656851737242893,0.575,6361.951327085495,32,0.030937733139957513,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,923.4725499153137,1
0.0025622681012367576,0.6134765625,11652.03604221344,64,0.012471845910847157,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,785.465117931366,1
0.0022791854112924025,0.66767578125,22257.735813617706,128,0.00834748496549692,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,649.6107256412506,1
0.0021456658878494196,0.693896484375,43093.168880701065,256,0.006115446918112,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,649.8424861431122,1
0.002058357785328915,0.7071777343750001,84401.07065820694,512,0.0038140624896670916,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,373.81323623657227,1
0.0029604216282058363,0.5626953125,6494.694353818893,32,0.029408413733972738,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,783.3297917842865,1
0.002511720862719589,0.6301757812500001,11597.56811928749,64,0.012914178907512897,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,646.6414792537689,1
0.0023153508883880943,0.6554199218750001,22037.384399414062,128,0.01054259128368562,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,924.0113139152527,1
0.002114310280937047,0.7001953125,43495.83525681496,256,0.005120349090906917,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,510.84130668640137,1
0.002061717343385233,0.706884765625,85344.3779437542,512,0.003917993865428515,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,785.4915697574615,1
0.0029105949287555016,0.5628906250000001,6600.232928037643,32,0.029844165590335425,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,652.8718113899231,1
0.002515886564815853,0.6224121093749999,11785.824087619781,64,0.016769305859281103,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,650.5165348052979,1
0.0022926973499837384,0.6628906250000001,22377.111124277115,128,0.009635383000882514,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,924.2577278614044,1
0.00215300623017971,0.688818359375,43602.204874038696,256,0.004995872671813728,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,928.5405685901642,1
0.0020646211857374805,0.70869140625,86091.83972501755,512,0.0039793593381693415,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,926.4312381744385,1
0.0030000569776708393,0.536865234375,6660.529813051224,32,0.02886542933258468,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,787.0012276172638,1
0.0025469539956946095,0.61982421875,12135.400892734528,64,0.016593450591168624,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,513.1100995540619,1
0.0022100949986210445,0.68466796875,23125.970829963684,128,0.0063295005606675,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,785.7093403339386,1
0.002148566408015322,0.690966796875,45285.64017081261,256,0.005866177772424319,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,512.4339962005615,1
0.0020404854931779398,0.713818359375,88730.07975721359,512,0.0033080908216025495,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,654.2408127784729,1
0.0029334234900632483,0.554248046875,6710.662158727646,32,0.023119722387025143,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,791.2751739025116,1
0.0025354496639085015,0.63447265625,12113.814687252045,64,0.014363077431725046,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,514.3768358230591,1
0.0023460372175191997,0.6388183593750001,23080.044546842575,128,0.008061274646401828,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,513.1226925849915,1
0.0021334499618100283,0.690087890625,45099.812512636185,256,0.0046985055111491425,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,513.973771572113,1
0.0020717715889688104,0.6983886718750001,88720.11567258835,512,0.004238867711104044,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,516.7864084243774,1
0.0029049991588562802,0.57744140625,6527.034688711166,32,0.0246008670061848,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,650.9724011421204,1
0.0025581118509167473,0.6280761718750001,12038.906378746033,64,0.014634670026397678,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,514.5596349239349,1
0.0023287305766760886,0.6505859375,22468.2714138031,128,0.011629935228144761,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,925.7934811115265,1
0.002138242462051225,0.6908203125000001,43910.844266176224,256,0.007583473237866345,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,649.8872056007385,1
0.0020679459642802068,0.7076171875,86380.97937941551,512,0.003591020428093339,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,787.2247176170349,1
0.0030936140310746044,0.53232421875,6479.228132486343,32,0.028866843594684055,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,651.7436773777008,1
0.0025204343213657784,0.634130859375,11807.745127916336,64,0.015444956582736036,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,653.2349083423615,1
0.0022580083599472865,0.671044921875,22525.50034928322,128,0.009281865716939619,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,648.4289402961731,1
0.002157437902979243,0.683447265625,43805.9473156929,256,0.006424830829593164,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,651.5022313594818,1
0.002048769746923792,0.707470703125,86772.62297034264,512,0.003359852239520844,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,653.5286531448364,1
