dataset,repeat,method,time_explanation,time_sample_choose,n_original,n_sample,g
compas,1,cte_stratified_sage_permutation,126.18951392173767,0.001886129379272461,1235,192,3
compas,1,iid_shap_kernel,96.40582203865051,5.316734313964844e-05,1235,256,3
compas,1,iid_shap_permutation,44.25574493408203,5.316734313964844e-05,1235,256,3
compas,1,iid_sage_kernel,98.96084785461426,5.316734313964844e-05,1235,256,3
compas,1,iid_sage_permutation,166.32392024993896,5.316734313964844e-05,1235,256,3
compas,2,cte_shap_kernel,96.11564588546753,0.013014078140258789,1235,256,3
compas,2,cte_shap_permutation,44.463781118392944,0.013014078140258789,1235,256,3
compas,2,cte_sage_kernel,72.59786319732666,0.013014078140258789,1235,256,3
compas,2,cte_sage_permutation,146.9888072013855,0.013014078140258789,1235,256,3
compas,2,cte_with_predictions_shap_kernel,96.8512933254242,0.01293492317199707,1235,256,3
compas,2,cte_with_predictions_shap_permutation,44.203861951828,0.01293492317199707,1235,256,3
compas,2,cte_with_predictions_sage_kernel,71.62952280044556,0.01293492317199707,1235,256,3
compas,2,cte_with_predictions_sage_permutation,143.9850800037384,0.01293492317199707,1235,256,3
compas,2,cte_stratified_shap_kernel,73.23293209075928,0.0019268989562988281,1235,192,3
compas,2,cte_stratified_shap_permutation,35.87387800216675,0.0019268989562988281,1235,192,3
compas,2,cte_stratified_sage_kernel,67.24880313873291,0.0019268989562988281,1235,192,3
compas,2,cte_stratified_sage_permutation,138.5940978527069,0.0019268989562988281,1235,192,3
compas,2,iid_shap_kernel,97.08643198013306,5.507469177246094e-05,1235,256,3
compas,2,iid_shap_permutation,44.969027042388916,5.507469177246094e-05,1235,256,3
compas,2,iid_sage_kernel,102.87831401824951,5.507469177246094e-05,1235,256,3
compas,2,iid_sage_permutation,192.4054298400879,5.507469177246094e-05,1235,256,3
compas,3,cte_shap_kernel,97.29079723358154,0.014274120330810547,1235,256,3
compas,3,cte_shap_permutation,45.037221908569336,0.014274120330810547,1235,256,3
compas,3,cte_sage_kernel,156.2773277759552,0.014274120330810547,1235,256,3
compas,3,cte_sage_permutation,283.6563141345978,0.014274120330810547,1235,256,3
compas,3,cte_with_predictions_shap_kernel,97.1533408164978,0.013603925704956055,1235,256,3
compas,3,cte_with_predictions_shap_permutation,45.13452410697937,0.013603925704956055,1235,256,3
compas,3,cte_with_predictions_sage_kernel,126.44539284706116,0.013603925704956055,1235,256,3
compas,3,cte_with_predictions_sage_permutation,243.59837079048157,0.013603925704956055,1235,256,3
compas,3,cte_stratified_shap_kernel,74.04811310768127,0.0017151832580566406,1235,192,3
compas,3,cte_stratified_shap_permutation,36.46505284309387,0.0017151832580566406,1235,192,3
compas,3,cte_stratified_sage_kernel,61.9867901802063,0.0017151832580566406,1235,192,3
compas,3,cte_stratified_sage_permutation,135.77370691299438,0.0017151832580566406,1235,192,3
compas,3,iid_shap_kernel,96.80175399780273,5.698204040527344e-05,1235,256,3
compas,3,iid_shap_permutation,44.85958194732666,5.698204040527344e-05,1235,256,3
compas,3,iid_sage_kernel,105.590656042099,5.698204040527344e-05,1235,256,3
compas,3,iid_sage_permutation,212.04181003570557,5.698204040527344e-05,1235,256,3
compas,4,cte_shap_kernel,97.34759497642517,0.012717962265014648,1235,256,3
compas,4,cte_shap_permutation,45.646077156066895,0.012717962265014648,1235,256,3
compas,4,cte_sage_kernel,75.47122311592102,0.012717962265014648,1235,256,3
compas,4,cte_sage_permutation,162.4633390903473,0.012717962265014648,1235,256,3
compas,4,cte_with_predictions_shap_kernel,96.89352011680603,0.01270294189453125,1235,256,3
compas,4,cte_with_predictions_shap_permutation,44.94744610786438,0.01270294189453125,1235,256,3
compas,4,cte_with_predictions_sage_kernel,84.57138085365295,0.01270294189453125,1235,256,3
compas,4,cte_with_predictions_sage_permutation,181.09909081459045,0.01270294189453125,1235,256,3
compas,4,cte_stratified_shap_kernel,73.5929479598999,0.002039194107055664,1235,192,3
compas,4,cte_stratified_shap_permutation,36.525521993637085,0.002039194107055664,1235,192,3
compas,4,cte_stratified_sage_kernel,58.21645498275757,0.002039194107055664,1235,192,3
compas,4,cte_stratified_sage_permutation,126.51152300834656,0.002039194107055664,1235,192,3
compas,4,iid_shap_kernel,96.8619167804718,5.698204040527344e-05,1235,256,3
compas,4,iid_shap_permutation,45.33460807800293,5.698204040527344e-05,1235,256,3
compas,4,iid_sage_kernel,73.5273027420044,5.698204040527344e-05,1235,256,3
compas,4,iid_sage_permutation,153.3952522277832,5.698204040527344e-05,1235,256,3
