dataset,repeat,method,time_explanation,time_sample_choose,n_original,n_sample
compas,0,cte_shap_kernel,12.876121044158936,0.02438974380493164,1235,32
compas,0,cte_shap_permutation,13.208033800125122,0.02438974380493164,1235,32
compas,0,cte_sage_kernel,17.701507091522217,0.02438974380493164,1235,32
compas,0,cte_sage_permutation,24.534168004989624,0.02438974380493164,1235,32
compas,0,cte_with_predictions_shap_kernel,13.773674964904785,0.022962093353271484,1235,32
compas,0,cte_with_predictions_shap_permutation,12.868398904800415,0.022962093353271484,1235,32
compas,0,cte_with_predictions_sage_kernel,12.289561033248901,0.022962093353271484,1235,32
compas,0,cte_with_predictions_sage_permutation,19.753064155578613,0.022962093353271484,1235,32
compas,0,cte_stratified_shap_kernel,10.433701992034912,0.0018219947814941406,1235,24
compas,0,cte_stratified_shap_permutation,11.408006191253662,0.0018219947814941406,1235,24
compas,0,cte_stratified_sage_kernel,12.251185894012451,0.0018219947814941406,1235,24
compas,0,cte_stratified_sage_permutation,19.52574610710144,0.0018219947814941406,1235,24
compas,1,cte_shap_kernel,13.715105056762695,0.02748417854309082,1235,32
compas,1,cte_shap_permutation,13.180455207824707,0.02748417854309082,1235,32
compas,1,cte_sage_kernel,10.480868816375732,0.02748417854309082,1235,32
compas,1,cte_sage_permutation,17.23266625404358,0.02748417854309082,1235,32
compas,1,cte_with_predictions_shap_kernel,13.545395135879517,0.02349996566772461,1235,32
compas,1,cte_with_predictions_shap_permutation,12.530244827270508,0.02349996566772461,1235,32
compas,1,cte_with_predictions_sage_kernel,9.773151874542236,0.02349996566772461,1235,32
compas,1,cte_with_predictions_sage_permutation,13.260087013244629,0.02349996566772461,1235,32
compas,1,cte_stratified_shap_kernel,10.65128493309021,0.0016410350799560547,1235,24
compas,1,cte_stratified_shap_permutation,11.90858507156372,0.0016410350799560547,1235,24
compas,1,cte_stratified_sage_kernel,13.431450843811035,0.0016410350799560547,1235,24
compas,1,cte_stratified_sage_permutation,19.84896469116211,0.0016410350799560547,1235,24
compas,2,cte_shap_kernel,13.497764110565186,0.02249908447265625,1235,32
compas,2,cte_shap_permutation,12.909101247787476,0.02249908447265625,1235,32
compas,2,cte_sage_kernel,15.242673873901367,0.02249908447265625,1235,32
compas,2,cte_sage_permutation,25.19320797920227,0.02249908447265625,1235,32
compas,2,cte_with_predictions_shap_kernel,13.723098039627075,0.02340102195739746,1235,32
compas,2,cte_with_predictions_shap_permutation,13.458736896514893,0.02340102195739746,1235,32
compas,2,cte_with_predictions_sage_kernel,7.3775200843811035,0.02340102195739746,1235,32
compas,2,cte_with_predictions_sage_permutation,93.84590721130371,0.02340102195739746,1235,32
compas,2,cte_stratified_shap_kernel,56.34982085227966,0.0017170906066894531,1235,24
compas,2,cte_stratified_shap_permutation,13.5315580368042,0.0017170906066894531,1235,24
compas,2,cte_stratified_sage_kernel,6.7038280963897705,0.0017170906066894531,1235,24
compas,2,cte_stratified_sage_permutation,12.073227167129517,0.0017170906066894531,1235,24
compas,3,cte_shap_kernel,210.82059121131897,0.01875782012939453,1235,32
compas,3,cte_shap_permutation,11.6410551071167,0.01875782012939453,1235,32
compas,3,cte_sage_kernel,12.639031171798706,0.01875782012939453,1235,32
compas,3,cte_sage_permutation,20.946125030517578,0.01875782012939453,1235,32
compas,3,cte_with_predictions_shap_kernel,11.158867835998535,0.018510103225708008,1235,32
compas,3,cte_with_predictions_shap_permutation,11.26590371131897,0.018510103225708008,1235,32
compas,3,cte_with_predictions_sage_kernel,7.380258083343506,0.018510103225708008,1235,32
compas,3,cte_with_predictions_sage_permutation,13.647001028060913,0.018510103225708008,1235,32
compas,3,cte_stratified_shap_kernel,9.891059875488281,0.0015740394592285156,1235,24
compas,3,cte_stratified_shap_permutation,11.745567083358765,0.0015740394592285156,1235,24
compas,3,cte_stratified_sage_kernel,8.861378908157349,0.0015740394592285156,1235,24
compas,3,cte_stratified_sage_permutation,15.178472995758057,0.0015740394592285156,1235,24
compas,4,cte_shap_kernel,12.733112096786499,0.022367000579833984,1235,32
compas,4,cte_shap_permutation,11.83083438873291,0.022367000579833984,1235,32
compas,4,cte_sage_kernel,9.861168146133423,0.022367000579833984,1235,32
compas,4,cte_sage_permutation,17.665250062942505,0.022367000579833984,1235,32
compas,4,cte_with_predictions_shap_kernel,13.062611103057861,0.022473812103271484,1235,32
compas,4,cte_with_predictions_shap_permutation,12.515507221221924,0.022473812103271484,1235,32
compas,4,cte_with_predictions_sage_kernel,12.108424186706543,0.022473812103271484,1235,32
compas,4,cte_with_predictions_sage_permutation,20.059769868850708,0.022473812103271484,1235,32
compas,4,cte_stratified_shap_kernel,10.473037719726562,0.0016529560089111328,1235,24
compas,4,cte_stratified_shap_permutation,12.394624948501587,0.0016529560089111328,1235,24
compas,4,cte_stratified_sage_kernel,10.191131114959717,0.0016529560089111328,1235,24
compas,4,cte_stratified_sage_permutation,15.326390027999878,0.0016529560089111328,1235,24
compas,5,cte_shap_kernel,13.287344932556152,0.02321791648864746,1235,32
compas,5,cte_shap_permutation,13.832889080047607,0.02321791648864746,1235,32
compas,5,cte_sage_kernel,15.340626955032349,0.02321791648864746,1235,32
