dataset,repeat,method,time_explanation,n_original
german,0,ground_truth_sage_kernel,255.85591220855713,200
german,0,ground_truth_sage_permutation,363.61559104919434,200
german,0,ground_truth_shap_kernel,196.70971632003784,200
german,0,ground_truth_shap_permutation,8.480449199676514,200
german,1,ground_truth_sage_kernel,300.28233075141907,200
german,1,ground_truth_sage_permutation,387.2373309135437,200
german,1,ground_truth_shap_kernel,200.00312399864197,200
german,1,ground_truth_shap_permutation,6.124268054962158,200
german,2,ground_truth_sage_kernel,249.7389998435974,200
german,2,ground_truth_sage_permutation,295.8140649795532,200
german,2,ground_truth_shap_kernel,182.89123034477234,200
german,2,ground_truth_shap_permutation,4.626535892486572,200
