dataset,repeat,method,time_explanation,time_sample_choose,n_original,n_sample
german,0,cte_shap_kernel,11.799273014068604,0.0015561580657958984,200,8
german,0,cte_shap_permutation,2.869734764099121,0.0015561580657958984,200,8
german,0,cte_sage_kernel,11.482646942138672,0.0015561580657958984,200,8
german,0,cte_sage_permutation,11.968120098114014,0.0015561580657958984,200,8
german,0,cte_with_predictions_shap_kernel,12.050179958343506,0.0002949237823486328,200,8
german,0,cte_with_predictions_shap_permutation,0.5052757263183594,0.0002949237823486328,200,8
german,0,cte_with_predictions_sage_kernel,12.298870086669922,0.0002949237823486328,200,8
german,0,cte_with_predictions_sage_permutation,13.006280899047852,0.0002949237823486328,200,8
german,0,cte_stratified_shap_kernel,17.290945053100586,0.0004143714904785156,200,12
german,0,cte_stratified_shap_permutation,0.6393311023712158,0.0004143714904785156,200,12
german,0,cte_stratified_sage_kernel,18.000133991241455,0.0004143714904785156,200,12
german,0,cte_stratified_sage_permutation,16.02055788040161,0.0004143714904785156,200,12
german,1,cte_shap_kernel,14.18809700012207,0.00032401084899902344,200,8
german,1,cte_shap_permutation,0.5279219150543213,0.00032401084899902344,200,8
german,1,cte_sage_kernel,35.29230308532715,0.00032401084899902344,200,8
german,1,cte_sage_permutation,27.957622051239014,0.00032401084899902344,200,8
german,1,cte_with_predictions_shap_kernel,14.269268989562988,0.0003268718719482422,200,8
german,1,cte_with_predictions_shap_permutation,0.6363611221313477,0.0003268718719482422,200,8
german,1,cte_with_predictions_sage_kernel,35.46330690383911,0.0003268718719482422,200,8
german,1,cte_with_predictions_sage_permutation,29.03550124168396,0.0003268718719482422,200,8
german,1,cte_stratified_shap_kernel,18.60861325263977,0.0004432201385498047,200,12
german,1,cte_stratified_shap_permutation,0.6125073432922363,0.0004432201385498047,200,12
german,1,cte_stratified_sage_kernel,21.45096492767334,0.0004432201385498047,200,12
german,1,cte_stratified_sage_permutation,18.537343978881836,0.0004432201385498047,200,12
german,2,cte_shap_kernel,14.750182867050171,0.0003247261047363281,200,8
german,2,cte_shap_permutation,0.6343870162963867,0.0003247261047363281,200,8
german,2,cte_sage_kernel,15.858328819274902,0.0003247261047363281,200,8
german,2,cte_sage_permutation,11.880676031112671,0.0003247261047363281,200,8
german,2,cte_with_predictions_shap_kernel,15.197059869766235,0.0003230571746826172,200,8
german,2,cte_with_predictions_shap_permutation,0.5027279853820801,0.0003230571746826172,200,8
german,2,cte_with_predictions_sage_kernel,15.777312994003296,0.0003230571746826172,200,8
german,2,cte_with_predictions_sage_permutation,12.098526954650879,0.0003230571746826172,200,8
german,2,cte_stratified_shap_kernel,18.825366973876953,0.00047206878662109375,200,12
german,2,cte_stratified_shap_permutation,0.6961729526519775,0.00047206878662109375,200,12
german,2,cte_stratified_sage_kernel,20.54966402053833,0.00047206878662109375,200,12
german,2,cte_stratified_sage_permutation,16.749248027801514,0.00047206878662109375,200,12
german,3,cte_shap_kernel,15.265541315078735,0.0003199577331542969,200,8
german,3,cte_shap_permutation,0.679455041885376,0.0003199577331542969,200,8
german,3,cte_sage_kernel,19.034582138061523,0.0003199577331542969,200,8
german,3,cte_sage_permutation,19.421653985977173,0.0003199577331542969,200,8
german,3,cte_with_predictions_shap_kernel,15.214539766311646,0.0003209114074707031,200,8
german,3,cte_with_predictions_shap_permutation,0.6281969547271729,0.0003209114074707031,200,8
german,3,cte_with_predictions_sage_kernel,32.14452409744263,0.0003209114074707031,200,8
german,3,cte_with_predictions_sage_permutation,27.026154041290283,0.0003209114074707031,200,8
german,3,cte_stratified_shap_kernel,19.271376132965088,0.00043582916259765625,200,12
german,3,cte_stratified_shap_permutation,0.7351157665252686,0.00043582916259765625,200,12
german,3,cte_stratified_sage_kernel,23.34402894973755,0.00043582916259765625,200,12
german,3,cte_stratified_sage_permutation,18.585186004638672,0.00043582916259765625,200,12
german,4,cte_shap_kernel,15.11009168624878,0.00032401084899902344,200,8
german,4,cte_shap_permutation,0.6405577659606934,0.00032401084899902344,200,8
german,4,cte_sage_kernel,28.344307899475098,0.00032401084899902344,200,8
german,4,cte_sage_permutation,23.883018016815186,0.00032401084899902344,200,8
german,4,cte_with_predictions_shap_kernel,14.812244892120361,0.00032711029052734375,200,8
german,4,cte_with_predictions_shap_permutation,0.6849620342254639,0.00032711029052734375,200,8
german,4,cte_with_predictions_sage_kernel,20.502058029174805,0.00032711029052734375,200,8
german,4,cte_with_predictions_sage_permutation,17.422310829162598,0.00032711029052734375,200,8
german,4,cte_stratified_shap_kernel,19.251156091690063,0.0004649162292480469,200,12
german,4,cte_stratified_shap_permutation,0.7275359630584717,0.0004649162292480469,200,12
german,4,cte_stratified_sage_kernel,21.358575105667114,0.0004649162292480469,200,12
german,4,cte_stratified_sage_permutation,18.304116010665894,0.0004649162292480469,200,12
