num_bins,mae_values_cte,mae_values_iid,len_cte,iid_cte_improvement
16,0.00417051297597876,0.009858506201124766,32,57.6962991056095
17,0.007427081804985582,0.012203720802024906,17,39.1408413428039
18,0.006269250428118646,0.013457905805031584,18,53.41585445058825
19,0.005913139276506759,0.01385763554371424,19,57.32937803239505
20,0.0067438934206684115,0.013861925527141385,20,51.349519174201326
21,0.00625029209413227,0.014125247135649048,21,55.750918662811266
22,0.007757506182230878,0.01414058587761893,22,45.14013599316912
23,0.006636455539069499,0.014427375672413083,23,54.000951456755786
24,0.010055717090915708,0.014464651868103716,24,30.48075278541778
25,0.0057029171567057595,0.014946475517644046,25,61.84440171213897
26,0.00750762195020401,0.01523020112455863,26,50.70569397735658
27,0.008586058904470594,0.015375915649022746,27,44.15904001778065
28,0.004112555583717159,0.013248957926147156,28,68.95940339880673
29,0.006883360356303634,0.008908353925125395,29,22.731400052600147
30,0.012630236467372295,0.009249091610750139,30,-36.55650737302981
31,0.004618959750803739,0.009527649029067003,31,51.52046704583479
32,0.008012190548436682,0.009858506201124766,32,18.728148210501057
33,0.0054541992384734336,0.010197766872163628,33,46.51574891987864
34,0.006123453207917514,0.01065860636372718,34,42.54921329343267
35,0.0064617940609376845,0.008062690340072252,35,19.85560912810924
36,0.005630138573191042,0.008834808499213127,36,36.27322455611244
37,0.0036856425535287556,0.008634228820326767,37,57.31358723257382
38,0.006298729312492254,0.008488263572286258,38,25.794842975219577
39,0.006641522309610263,0.008447519418182942,39,21.37902287250555
40,0.004749330361136254,0.008372565288199062,40,43.27508717274112
41,0.01135210515491522,0.008480447426025979,41,-33.862101663130396
42,0.004704971494375987,0.008584268062729092,42,45.19076687733127
43,0.005035931413816489,0.009795514411447145,43,48.58941345712845
44,0.005433028745582685,0.009230387542213187,44,41.13975474230199
45,0.004832738784543624,0.00910167637664197,45,46.90276181488838
46,0.004028624550816978,0.008618898111255362,46,53.25824138057714
47,0.00459265226893043,0.008315898926479092,47,44.77263000026703
48,0.005007235156355297,0.0077035131659596995,48,35.000628304482184
49,0.0034900138720008545,0.008356590248002475,49,58.23638866539983
50,0.0039050372550964137,0.00814954245148383,50,52.08274233376866
51,0.004577175534577816,0.00784274504256814,51,41.63809342603593
52,0.0048503540437883595,0.007642574184812626,52,36.53507409287547
53,0.002574586613327381,0.007368948626779443,53,65.06168323699403
54,0.004615072659142305,0.0070789684556189225,54,34.80585924239997
55,0.005320778449910235,0.006926609458949767,55,23.18350729251326
56,0.0056135448226445365,0.006717989810588948,56,16.440111091022743
57,0.004471883331526659,0.006604163469449468,57,32.28690730910328
58,0.003967248710016306,0.006515208501680065,58,39.10787799050056
59,0.006079095818827021,0.006373891614329306,59,4.6250519045467815
60,0.004468351545670874,0.006321936650002377,60,29.31989368053548
61,0.004094005026714072,0.0061455619471986675,62,33.38273925332014
62,0.0033819497661533053,0.0061455619471986675,62,44.969234787472935
63,0.002820724828041488,0.006029012519097254,63,53.21414876637468
64,0.004358483515936126,0.009858506201124766,32,55.78961531272493
