method,repeat,g,n,mmd,t,num_points_selected
compress_kt,0,0,10000,0.00910370579479497,0.004405975341796875,64
compresspp_kt,0,0,10000,0.008960754309435132,0.002765178680419922,64
compress_kt,1,0,10000,0.00922163087364078,0.0025892257690429688,64
compresspp_kt,1,0,10000,0.009019804663973452,0.0027332305908203125,64
compress_kt,2,0,10000,0.008934048723947513,0.0026078224182128906,64
compresspp_kt,2,0,10000,0.009364589384070032,0.0027298927307128906,64
compress_kt,3,0,10000,0.008942543196329089,0.002746105194091797,64
compresspp_kt,3,0,10000,0.00928197078189505,0.0026161670684814453,64
compress_kt,4,0,10000,0.00889588359525495,0.0026891231536865234,64
compresspp_kt,4,0,10000,0.009234518561554328,0.002736806869506836,64
compress_kt,5,0,10000,0.009753195040218682,0.0026302337646484375,64
compresspp_kt,5,0,10000,0.008958163310453099,0.0027310848236083984,64
compress_kt,6,0,10000,0.008986948829150937,0.0025489330291748047,64
compresspp_kt,6,0,10000,0.009076841631833643,0.0028150081634521484,64
compress_kt,7,0,10000,0.009405805805532491,0.0026040077209472656,64
compresspp_kt,7,0,10000,0.009162265687480242,0.002643108367919922,64
compress_kt,8,0,10000,0.008577966795908748,0.002542257308959961,64
compresspp_kt,8,0,10000,0.009090426904595689,0.002664804458618164,64
compress_kt,9,0,10000,0.009071882055896457,0.002685070037841797,64
compresspp_kt,9,0,10000,0.009196328450221974,0.0029451847076416016,64
compress_kt,10,0,10000,0.008998814118943932,0.0030999183654785156,64
compresspp_kt,10,0,10000,0.009067771760373156,0.0027937889099121094,64
compress_kt,11,0,10000,0.00918037696249599,0.0026869773864746094,64
compresspp_kt,11,0,10000,0.008797206265378804,0.002660989761352539,64
compress_kt,12,0,10000,0.008034867211767716,0.0027861595153808594,64
compresspp_kt,12,0,10000,0.008281099562637756,0.002672910690307617,64
compress_kt,13,0,10000,0.008317067976355869,0.002747058868408203,64
compresspp_kt,13,0,10000,0.00894786602410283,0.0026819705963134766,64
compress_kt,14,0,10000,0.009095823144793375,0.002758026123046875,64
compresspp_kt,14,0,10000,0.008843737123961526,0.002846956253051758,64
compress_kt,15,0,10000,0.008850047749082324,0.0026199817657470703,64
compresspp_kt,15,0,10000,0.009029786050146121,0.002780914306640625,64
compress_kt,16,0,10000,0.00896540040890681,0.002653360366821289,64
compresspp_kt,16,0,10000,0.009848905636509392,0.0027420520782470703,64
compress_kt,17,0,10000,0.008954633151351421,0.0026340484619140625,64
compresspp_kt,17,0,10000,0.009136161692236522,0.002749919891357422,64
compress_kt,18,0,10000,0.008856144080292089,0.002602100372314453,64
compresspp_kt,18,0,10000,0.009324684196356264,0.0027027130126953125,64
compress_kt,19,0,10000,0.008763040712863962,0.002740144729614258,64
compresspp_kt,19,0,10000,0.00956708384414029,0.002660989761352539,64
compress_kt,20,0,10000,0.008582039014232684,0.0025599002838134766,64
compresspp_kt,20,0,10000,0.00888683521856326,0.002701282501220703,64
compress_kt,21,0,10000,0.009855759634854883,0.002653837203979492,64
compresspp_kt,21,0,10000,0.009173593340858321,0.002660036087036133,64
compress_kt,22,0,10000,0.009513499815937576,0.002553701400756836,64
compresspp_kt,22,0,10000,0.009806294137536226,0.002870798110961914,64
compress_kt,23,0,10000,0.008962481084008295,0.0025599002838134766,64
compresspp_kt,23,0,10000,0.008792212351679124,0.002653837203979492,64
compress_kt,24,0,10000,0.008914932271158582,0.014950990676879883,64
compresspp_kt,24,0,10000,0.009345286667105684,0.0028121471405029297,64
compress_kt,25,0,10000,0.009734588589223853,0.0025680065155029297,64
compresspp_kt,25,0,10000,0.009114115137816126,0.002707958221435547,64
compress_kt,26,0,10000,0.009259731244133318,0.0026340484619140625,64
compresspp_kt,26,0,10000,0.009780475848146147,0.002727031707763672,64
compress_kt,27,0,10000,0.00933326071130719,0.0026619434356689453,64
compresspp_kt,27,0,10000,0.00896822507770828,0.0030260086059570312,64
compress_kt,28,0,10000,0.009311951317219402,0.0030171871185302734,64
compresspp_kt,28,0,10000,0.009440922996843126,0.002746105194091797,64
compress_kt,29,0,10000,0.009268567376751191,0.0025658607482910156,64
compresspp_kt,29,0,10000,0.009069316476396194,0.0026922225952148438,64
compress_kt,30,0,10000,0.009127265010693858,0.0027692317962646484,64
compresspp_kt,30,0,10000,0.009384534829523616,0.002735137939453125,64
compress_kt,31,0,10000,0.009163084585906978,0.002708911895751953,64
compresspp_kt,31,0,10000,0.009338098451167232,0.0029091835021972656,64
compress_kt,32,0,10000,0.009069478828175714,0.002794981002807617,64
compresspp_kt,32,0,10000,0.009652241231013076,0.0027048587799072266,64
compress_kt,0,1,10000,0.004072976059110167,0.006843090057373047,128
compresspp_kt,0,1,10000,0.007831347844541287,0.0070111751556396484,64
compress_kt,1,1,10000,0.004049179371200612,0.007201671600341797,128
compresspp_kt,1,1,10000,0.007611915658245677,0.007144927978515625,64
compress_kt,2,1,10000,0.00409581581390131,0.00698089599609375,128
compresspp_kt,2,1,10000,0.007763798317584475,0.007014274597167969,64
compress_kt,3,1,10000,0.00388398641559623,0.02308487892150879,128
compresspp_kt,3,1,10000,0.007563341581496241,0.007234096527099609,64
compress_kt,4,1,10000,0.0038333939591690958,0.007026195526123047,128
compresspp_kt,4,1,10000,0.007971028749117093,0.007036924362182617,64
compress_kt,5,1,10000,0.003934309726078167,0.006895780563354492,128
compresspp_kt,5,1,10000,0.007639015468304949,0.006977081298828125,64
compress_kt,6,1,10000,0.004068470458355733,0.006858110427856445,128
compresspp_kt,6,1,10000,0.007686040883467665,0.007114887237548828,64
compress_kt,7,1,10000,0.004034664968814439,0.006846904754638672,128
compresspp_kt,7,1,10000,0.008257816835034681,0.007044076919555664,64
compress_kt,8,1,10000,0.004053764834370088,0.007206916809082031,128
compresspp_kt,8,1,10000,0.007527133634255528,0.00698089599609375,64
compress_kt,9,1,10000,0.004047111781267099,0.0069730281829833984,128
compresspp_kt,9,1,10000,0.007974612192950675,0.007070779800415039,64
compress_kt,10,1,10000,0.003947073059457906,0.007009983062744141,128
compresspp_kt,10,1,10000,0.007593707198297633,0.007055759429931641,64
compress_kt,11,1,10000,0.0040772582476381325,0.006849765777587891,128
compresspp_kt,11,1,10000,0.007692961141470084,0.007051944732666016,64
compress_kt,12,1,10000,0.004139843024577566,0.0068700313568115234,128
compresspp_kt,12,1,10000,0.00769221795587588,0.007047891616821289,64
compress_kt,13,1,10000,0.003960841763085893,0.0069408416748046875,128
compresspp_kt,13,1,10000,0.007667801394587254,0.007191181182861328,64
compress_kt,14,1,10000,0.004009779894812243,0.006955862045288086,128
compresspp_kt,14,1,10000,0.008068403658424178,0.0070362091064453125,64
compress_kt,15,1,10000,0.0038885696099492106,0.006953001022338867,128
compresspp_kt,15,1,10000,0.007543208910215732,0.006957054138183594,64
compress_kt,16,1,10000,0.00410016448888656,0.006902933120727539,128
compresspp_kt,16,1,10000,0.007690074470411257,0.007069110870361328,64
compress_kt,17,1,10000,0.00402398803751991,0.007312774658203125,128
compresspp_kt,17,1,10000,0.00787156056490565,0.008105278015136719,64
compress_kt,18,1,10000,0.0038828868622756973,0.007011890411376953,128
compresspp_kt,18,1,10000,0.007298276445424801,0.0071790218353271484,64
compress_kt,19,1,10000,0.003999356534278992,0.0069921016693115234,128
compresspp_kt,19,1,10000,0.007712896325923674,0.007113933563232422,64
compress_kt,20,1,10000,0.003924686673554528,0.00708317756652832,128
compresspp_kt,20,1,10000,0.008072687226734737,0.007087230682373047,64
compress_kt,21,1,10000,0.004098041172059835,0.00689697265625,128
compresspp_kt,21,1,10000,0.008069759666482157,0.007629871368408203,64
compress_kt,22,1,10000,0.003911899420882853,0.0075299739837646484,128
compresspp_kt,22,1,10000,0.007972891309266678,0.007815837860107422,64
compress_kt,23,1,10000,0.004211998056058597,0.006885051727294922,128
compresspp_kt,23,1,10000,0.007779749240317407,0.0071980953216552734,64
compress_kt,24,1,10000,0.004171273114445706,0.007432222366333008,128
compresspp_kt,24,1,10000,0.007964313587472266,0.006943941116333008,64
compress_kt,25,1,10000,0.004310933281751389,0.0070650577545166016,128
compresspp_kt,25,1,10000,0.007684137246811634,0.007036924362182617,64
compress_kt,26,1,10000,0.003827582637682736,0.007129192352294922,128
compresspp_kt,26,1,10000,0.00821560631402568,0.007025241851806641,64
compress_kt,27,1,10000,0.004293324145105221,0.0069580078125,128
compresspp_kt,27,1,10000,0.007799253159516295,0.0072939395904541016,64
compress_kt,28,1,10000,0.00393380334919366,0.007012128829956055,128
compresspp_kt,28,1,10000,0.007512724743249349,0.007076263427734375,64
compress_kt,29,1,10000,0.004071871719799752,0.007162809371948242,128
compresspp_kt,29,1,10000,0.0078017974891360364,0.007122993469238281,64
compress_kt,30,1,10000,0.0038464793931473618,0.007066249847412109,128
compresspp_kt,30,1,10000,0.007931563134207259,0.007122039794921875,64
compress_kt,31,1,10000,0.0037673299331770493,0.0071408748626708984,128
compresspp_kt,31,1,10000,0.0076884532183391086,0.007184028625488281,64
compress_kt,32,1,10000,0.003908487210653622,0.0069081783294677734,128
compresspp_kt,32,1,10000,0.007643815645618973,0.007376194000244141,64
compress_kt,0,2,10000,0.0017138706921016322,0.021622180938720703,256
compresspp_kt,0,2,10000,0.007299444351880097,0.021767377853393555,64
compress_kt,1,2,10000,0.0017373755538549196,0.021466732025146484,256
compresspp_kt,1,2,10000,0.007356507257930661,0.022716999053955078,64
compress_kt,2,2,10000,0.0017778064792710602,0.021238088607788086,256
compresspp_kt,2,2,10000,0.007208249517210552,0.02186298370361328,64
compress_kt,3,2,10000,0.0016791524447315187,0.02140522003173828,256
compresspp_kt,3,2,10000,0.007435014714838789,0.021717071533203125,64
compress_kt,4,2,10000,0.0017386988237568235,0.022784948348999023,256
compresspp_kt,4,2,10000,0.00726460155104397,0.021740198135375977,64
compress_kt,5,2,10000,0.0016689539612959325,0.021199941635131836,256
compresspp_kt,5,2,10000,0.006958578013718408,0.02134871482849121,64
compress_kt,6,2,10000,0.0016690698589783837,0.021042823791503906,256
compresspp_kt,6,2,10000,0.007345011705328475,0.021290063858032227,64
compress_kt,7,2,10000,0.001676591480215539,0.021028995513916016,256
compresspp_kt,7,2,10000,0.007160936487197789,0.023859024047851562,64
compress_kt,8,2,10000,0.0017145434902046675,0.02100992202758789,256
compresspp_kt,8,2,10000,0.007231088255399976,0.02139425277709961,64
compress_kt,9,2,10000,0.001638314775888633,0.02103281021118164,256
compresspp_kt,9,2,10000,0.007161793602260963,0.02140498161315918,64
compress_kt,10,2,10000,0.0017140612947121603,0.02141404151916504,256
compresspp_kt,10,2,10000,0.007090589128080416,0.021368980407714844,64
compress_kt,11,2,10000,0.0017272395871148483,0.021275997161865234,256
compresspp_kt,11,2,10000,0.00707910367308065,0.021606922149658203,64
compress_kt,12,2,10000,0.0016975055778265524,0.021806001663208008,256
compresspp_kt,12,2,10000,0.007113614340297725,0.021700143814086914,64
compress_kt,13,2,10000,0.0017398225081664276,0.02116084098815918,256
compresspp_kt,13,2,10000,0.007225086181388729,0.02178788185119629,64
compress_kt,14,2,10000,0.0017885003656410714,0.022552967071533203,256
compresspp_kt,14,2,10000,0.007130941609317126,0.02137613296508789,64
compress_kt,15,2,10000,0.0017007010468422235,0.02089715003967285,256
compresspp_kt,15,2,10000,0.007268064866016999,0.021396875381469727,64
compress_kt,16,2,10000,0.0016832790608058423,0.02095508575439453,256
compresspp_kt,16,2,10000,0.007124542648859811,0.021281957626342773,64
compress_kt,17,2,10000,0.0017435918129520556,0.020923852920532227,256
compresspp_kt,17,2,10000,0.006951598975101642,0.02130413055419922,64
compress_kt,18,2,10000,0.0017361349329937936,0.02115607261657715,256
compresspp_kt,18,2,10000,0.007261125529533313,0.021320819854736328,64
compress_kt,19,2,10000,0.001711575024723494,0.020949125289916992,256
compresspp_kt,19,2,10000,0.007272248086458405,0.021277904510498047,64
compress_kt,20,2,10000,0.0017726371560524146,0.02096414566040039,256
compresspp_kt,20,2,10000,0.007183101660842073,0.02126789093017578,64
compress_kt,21,2,10000,0.0016950807867039952,0.020873069763183594,256
compresspp_kt,21,2,10000,0.007087455816234128,0.02136993408203125,64
compress_kt,22,2,10000,0.0016809552440704423,0.020937204360961914,256
compresspp_kt,22,2,10000,0.007206629589146418,0.021389007568359375,64
compress_kt,23,2,10000,0.0017961377427966607,0.02112293243408203,256
compresspp_kt,23,2,10000,0.007186325173537428,0.021386146545410156,64
compress_kt,24,2,10000,0.0016877074676401038,0.020888090133666992,256
compresspp_kt,24,2,10000,0.007136032661113678,0.0213320255279541,64
compress_kt,25,2,10000,0.0017824541887140055,0.02092599868774414,256
compresspp_kt,25,2,10000,0.007125422374699014,0.02132391929626465,64
compress_kt,26,2,10000,0.0017777033642663032,0.020889997482299805,256
compresspp_kt,26,2,10000,0.007046899600771234,0.0213010311126709,64
compress_kt,27,2,10000,0.0017192048820965367,0.021306276321411133,256
compresspp_kt,27,2,10000,0.007122546649285327,0.021377086639404297,64
compress_kt,28,2,10000,0.001774438343794399,0.0209197998046875,256
compresspp_kt,28,2,10000,0.007293422420100809,0.0213010311126709,64
compress_kt,29,2,10000,0.0017169746645022965,0.020891189575195312,256
compresspp_kt,29,2,10000,0.0068648877100414285,0.02196192741394043,64
compress_kt,30,2,10000,0.0017030567773767824,0.021022796630859375,256
compresspp_kt,30,2,10000,0.007124251758862138,0.02171778678894043,64
compress_kt,31,2,10000,0.0016438334141143374,0.021090030670166016,256
compresspp_kt,31,2,10000,0.006993163072766151,0.021581172943115234,64
compress_kt,32,2,10000,0.0018311908244665331,0.02122807502746582,256
compresspp_kt,32,2,10000,0.007127814050215481,0.02165985107421875,64
compress_kt,0,3,10000,0.0007779459941598121,0.0645899772644043,512
compresspp_kt,0,3,10000,0.006843914002695239,0.06629204750061035,64
compress_kt,1,3,10000,0.0007628747439456518,0.06455516815185547,512
compresspp_kt,1,3,10000,0.007033377479431807,0.0677649974822998,64
compress_kt,2,3,10000,0.0007636032482996047,0.06625103950500488,512
compresspp_kt,2,3,10000,0.006738042768012542,0.0643160343170166,64
compress_kt,3,3,10000,0.0007561807161354517,0.06422090530395508,512
compresspp_kt,3,3,10000,0.006865050917296944,0.06588196754455566,64
compress_kt,4,3,10000,0.0007530995665336881,0.06389713287353516,512
compresspp_kt,4,3,10000,0.0065842133453699325,0.06482625007629395,64
compress_kt,5,3,10000,0.0007594924234760325,0.06387686729431152,512
compresspp_kt,5,3,10000,0.006858850076662121,0.06432509422302246,64
compress_kt,6,3,10000,0.0007537936890998354,0.06393980979919434,512
compresspp_kt,6,3,10000,0.007173860530805848,0.0647420883178711,64
compress_kt,7,3,10000,0.0007484416055668353,0.06398892402648926,512
compresspp_kt,7,3,10000,0.006774437571636038,0.06476688385009766,64
compress_kt,8,3,10000,0.0007307699681760316,0.0666661262512207,512
compresspp_kt,8,3,10000,0.006798915226154778,0.06816935539245605,64
compress_kt,9,3,10000,0.000755955511160783,0.06419706344604492,512
compresspp_kt,9,3,10000,0.006776352324392221,0.0647130012512207,64
compress_kt,10,3,10000,0.0007253418726019256,0.06385183334350586,512
compresspp_kt,10,3,10000,0.006823312630220679,0.06483101844787598,64
compress_kt,11,3,10000,0.0007541315590454678,0.06376504898071289,512
compresspp_kt,11,3,10000,0.006863107927768036,0.06492280960083008,64
compress_kt,12,3,10000,0.0007664919704802042,0.06397223472595215,512
compresspp_kt,12,3,10000,0.00668836719163815,0.06475186347961426,64
compress_kt,13,3,10000,0.0007591280682316126,0.06417489051818848,512
compresspp_kt,13,3,10000,0.006787520614802756,0.06507229804992676,64
compress_kt,14,3,10000,0.0007420567018828761,0.06367707252502441,512
compresspp_kt,14,3,10000,0.006988863798009115,0.0647890567779541,64
compress_kt,15,3,10000,0.0007809543677683162,0.06393599510192871,512
compresspp_kt,15,3,10000,0.0067388609247938935,0.06488704681396484,64
compress_kt,16,3,10000,0.0007612872386289493,0.06464195251464844,512
compresspp_kt,16,3,10000,0.006889752607521643,0.06496405601501465,64
compress_kt,17,3,10000,0.0007547375080533547,0.06384110450744629,512
compresspp_kt,17,3,10000,0.006632396855056677,0.06475019454956055,64
compress_kt,18,3,10000,0.0007823086888373298,0.06398892402648926,512
compresspp_kt,18,3,10000,0.006787584856585371,0.06476902961730957,64
compress_kt,19,3,10000,0.0007424337113840773,0.06388401985168457,512
compresspp_kt,19,3,10000,0.006955087333832238,0.06489920616149902,64
compress_kt,20,3,10000,0.0007705638456627639,0.07266998291015625,512
compresspp_kt,20,3,10000,0.006886894545073491,0.06659698486328125,64
compress_kt,21,3,10000,0.0007598561227501743,0.06489706039428711,512
compresspp_kt,21,3,10000,0.007224610855772612,0.06703400611877441,64
compress_kt,22,3,10000,0.0007488552948932692,0.06479120254516602,512
compresspp_kt,22,3,10000,0.006659853117740949,0.06508588790893555,64
compress_kt,23,3,10000,0.0007697527068682153,0.0639960765838623,512
compresspp_kt,23,3,10000,0.00697015710607779,0.06485724449157715,64
compress_kt,24,3,10000,0.0007805735518275347,0.06387710571289062,512
compresspp_kt,24,3,10000,0.006813389685556476,0.06486201286315918,64
compress_kt,25,3,10000,0.0007766236657190118,0.06399893760681152,512
compresspp_kt,25,3,10000,0.006864055576795092,0.06471514701843262,64
compress_kt,26,3,10000,0.0007601209018881228,0.06384682655334473,512
compresspp_kt,26,3,10000,0.0068643832733390475,0.06608295440673828,64
compress_kt,27,3,10000,0.0007635084145479198,0.06432008743286133,512
compresspp_kt,27,3,10000,0.006952814944210212,0.06500697135925293,64
compress_kt,28,3,10000,0.0007757216415775758,0.06553483009338379,512
compresspp_kt,28,3,10000,0.006747036690156111,0.06473922729492188,64
compress_kt,29,3,10000,0.0007175739587148011,0.06485891342163086,512
compresspp_kt,29,3,10000,0.006828415687464839,0.06483697891235352,64
compress_kt,30,3,10000,0.0007578837210762135,0.06420612335205078,512
compresspp_kt,30,3,10000,0.006871057387070334,0.06531691551208496,64
compress_kt,31,3,10000,0.0007674632167901374,0.06396126747131348,512
compresspp_kt,31,3,10000,0.006969072491211481,0.06475615501403809,64
compress_kt,32,3,10000,0.0007298168223800194,0.06429195404052734,512
compresspp_kt,32,3,10000,0.0068696572654907695,0.06478404998779297,64
compress_kt,0,4,10000,0.00035989421686224987,0.18923187255859375,1024
compresspp_kt,0,4,10000,0.006472138483490708,0.18716979026794434,64
compress_kt,1,4,10000,0.0003572945782261139,0.18869924545288086,1024
compresspp_kt,1,4,10000,0.0065924487470851445,0.18616008758544922,64
compress_kt,2,4,10000,0.0003513849292236526,0.21142029762268066,1024
compresspp_kt,2,4,10000,0.006566342934026054,0.18687105178833008,64
compress_kt,3,4,10000,0.00035048306168178334,0.18942785263061523,1024
compresspp_kt,3,4,10000,0.0067014458464161875,0.18601703643798828,64
compress_kt,4,4,10000,0.00036049002467411495,0.18923282623291016,1024
compresspp_kt,4,4,10000,0.006503762193816709,0.18680191040039062,64
compress_kt,5,4,10000,0.00036466301849194527,0.18922114372253418,1024
compresspp_kt,5,4,10000,0.006662536148615644,0.1864147186279297,64
compress_kt,6,4,10000,0.00035430177145073793,0.19020509719848633,1024
compresspp_kt,6,4,10000,0.006563663219542104,0.186262845993042,64
compress_kt,7,4,10000,0.0003624738580203235,0.18945097923278809,1024
compresspp_kt,7,4,10000,0.006470365086516661,0.18642687797546387,64
compress_kt,8,4,10000,0.0003420557822953474,0.1891341209411621,1024
compresspp_kt,8,4,10000,0.0066926868895872405,0.18689417839050293,64
compress_kt,9,4,10000,0.00035425290476245874,0.18889904022216797,1024
compresspp_kt,9,4,10000,0.0065559847084385725,0.18649911880493164,64
compress_kt,10,4,10000,0.00036593180922669943,0.1903548240661621,1024
compresspp_kt,10,4,10000,0.006564469396671629,0.1874699592590332,64
compress_kt,11,4,10000,0.00035110273752603227,0.18959569931030273,1024
compresspp_kt,11,4,10000,0.006512504866964364,0.18701410293579102,64
compress_kt,12,4,10000,0.0003491917278150569,0.18934893608093262,1024
compresspp_kt,12,4,10000,0.006599105546089584,0.18692421913146973,64
compress_kt,13,4,10000,0.00035447632004756424,0.18919682502746582,1024
compresspp_kt,13,4,10000,0.0064513981745427385,0.18587279319763184,64
compress_kt,14,4,10000,0.00036182897323994156,0.19354486465454102,1024
compresspp_kt,14,4,10000,0.006455907667478306,0.1874680519104004,64
compress_kt,15,4,10000,0.00036442696701113886,0.18916821479797363,1024
compresspp_kt,15,4,10000,0.00647790041233004,0.18794894218444824,64
compress_kt,16,4,10000,0.00036040705282378016,0.1892261505126953,1024
compresspp_kt,16,4,10000,0.006483815870077597,0.19104385375976562,64
compress_kt,17,4,10000,0.00035309182457984867,0.18895888328552246,1024
compresspp_kt,17,4,10000,0.006657133605477233,0.18579912185668945,64
compress_kt,18,4,10000,0.00035872094806868593,0.19007277488708496,1024
