method,repeat,g,n,mmd,t,num_points_selected
compresspp_kt,18,4,10000,0.006507244402734008,0.18617486953735352,64
compress_kt,19,4,10000,0.0003557265272065846,0.18938326835632324,1024
compresspp_kt,19,4,10000,0.006651736133917063,0.18609094619750977,64
compress_kt,20,4,10000,0.000357670177588143,0.18973207473754883,1024
compresspp_kt,20,4,10000,0.0066638713134163086,0.187255859375,64
compress_kt,21,4,10000,0.000368572481589613,0.1890699863433838,1024
compresspp_kt,21,4,10000,0.0067967669237758155,0.18643426895141602,64
compress_kt,22,4,10000,0.00035034395717004063,0.18901515007019043,1024
compresspp_kt,22,4,10000,0.006785813579317623,0.1861250400543213,64
compress_kt,23,4,10000,0.0003619260152877002,0.1898210048675537,1024
compresspp_kt,23,4,10000,0.00653439841156464,0.18611526489257812,64
compress_kt,24,4,10000,0.00035615732542168543,0.1885831356048584,1024
compresspp_kt,24,4,10000,0.006554817128357898,0.18608999252319336,64
compress_kt,25,4,10000,0.0003588104785008095,0.18915581703186035,1024
compresspp_kt,25,4,10000,0.006695708304012976,0.18767213821411133,64
compress_kt,26,4,10000,0.00036814090462128357,0.18886613845825195,1024
compresspp_kt,26,4,10000,0.00647705724090486,0.18648123741149902,64
compress_kt,27,4,10000,0.000365076371203088,0.18983173370361328,1024
compresspp_kt,27,4,10000,0.00659875864409909,0.18652915954589844,64
compress_kt,28,4,10000,0.0003520876816601459,0.18905019760131836,1024
compresspp_kt,28,4,10000,0.0066700626989134315,0.1871950626373291,64
compress_kt,29,4,10000,0.00034784012614649806,0.18914198875427246,1024
compresspp_kt,29,4,10000,0.0068118104487249476,0.18624210357666016,64
compress_kt,30,4,10000,0.0003453105544540813,0.1894822120666504,1024
compresspp_kt,30,4,10000,0.006601222799495959,0.18794870376586914,64
compress_kt,31,4,10000,0.00035113860106875117,0.19004487991333008,1024
compresspp_kt,31,4,10000,0.006733432854883481,0.18622994422912598,64
compress_kt,32,4,10000,0.0003511318723332102,0.1894218921661377,1024
compresspp_kt,32,4,10000,0.0065963671727803375,0.18749308586120605,64
compress_kt,0,5,10000,0.0002056215999504396,0.4565591812133789,2048
compresspp_kt,0,5,10000,0.006579602001680868,0.48113012313842773,64
compress_kt,1,5,10000,0.0002076009592446859,0.46240711212158203,2048
compresspp_kt,1,5,10000,0.0064384763957821,0.47063398361206055,64
compress_kt,2,5,10000,0.00020629747985057012,0.45992302894592285,2048
compresspp_kt,2,5,10000,0.0064142609988192545,0.47022294998168945,64
compress_kt,3,5,10000,0.00020413939516258917,0.46480417251586914,2048
compresspp_kt,3,5,10000,0.006487037380454419,0.4752078056335449,64
compress_kt,4,5,10000,0.00020917452051094632,0.4624347686767578,2048
compresspp_kt,4,5,10000,0.006444056309053869,0.47055792808532715,64
compress_kt,5,5,10000,0.0002087537826637731,0.4707608222961426,2048
compresspp_kt,5,5,10000,0.006425275198669589,0.475949764251709,64
compress_kt,6,5,10000,0.0002041176568866876,0.4650881290435791,2048
compresspp_kt,6,5,10000,0.006306399107754074,0.477402925491333,64
compress_kt,7,5,10000,0.00021398595801255804,0.47266197204589844,2048
compresspp_kt,7,5,10000,0.006414674814337329,0.4631197452545166,64
compress_kt,8,5,10000,0.0002089384620603263,0.46045398712158203,2048
compresspp_kt,8,5,10000,0.006574457896489222,0.47150397300720215,64
compress_kt,9,5,10000,0.00020756995124596167,0.4710729122161865,2048
compresspp_kt,9,5,10000,0.006488469549319809,0.4619269371032715,64
compress_kt,10,5,10000,0.00020776305251007932,0.4670228958129883,2048
compresspp_kt,10,5,10000,0.0064260592857526555,0.47395825386047363,64
compress_kt,11,5,10000,0.00020753544658491663,0.4606819152832031,2048
compresspp_kt,11,5,10000,0.006359683030150165,0.4758110046386719,64
compress_kt,12,5,10000,0.00020702847052272988,0.47038793563842773,2048
compresspp_kt,12,5,10000,0.006462889368177738,0.4761688709259033,64
compress_kt,13,5,10000,0.00020751594432544263,0.45778584480285645,2048
compresspp_kt,13,5,10000,0.00639645429109581,0.47792816162109375,64
compress_kt,14,5,10000,0.00020640528459064944,0.4688131809234619,2048
compresspp_kt,14,5,10000,0.0064109476190181425,0.46631908416748047,64
compress_kt,15,5,10000,0.00020792614872108817,0.4674220085144043,2048
compresspp_kt,15,5,10000,0.006566428356993198,0.47098612785339355,64
compress_kt,16,5,10000,0.0002088836457514176,0.46958422660827637,2048
compresspp_kt,16,5,10000,0.006519972260281587,0.47034597396850586,64
compress_kt,17,5,10000,0.00020506553769039648,0.45742106437683105,2048
compresspp_kt,17,5,10000,0.006630724954637096,0.4603400230407715,64
compress_kt,18,5,10000,0.00020433099783243036,0.46177101135253906,2048
compresspp_kt,18,5,10000,0.006512762023538898,0.47147488594055176,64
compress_kt,19,5,10000,0.00020883810296634664,0.4603610038757324,2048
compresspp_kt,19,5,10000,0.006487040936973332,0.47281527519226074,64
compress_kt,20,5,10000,0.00020769408210966067,0.46820902824401855,2048
compresspp_kt,20,5,10000,0.00652902587771334,0.47584104537963867,64
compress_kt,21,5,10000,0.00020791784515961087,0.46726417541503906,2048
compresspp_kt,21,5,10000,0.006420201093128047,0.48184704780578613,64
compress_kt,22,5,10000,0.00020720589402295486,0.4538748264312744,2048
compresspp_kt,22,5,10000,0.006324133196653647,0.4617946147918701,64
compress_kt,23,5,10000,0.00020535349007907988,0.4634060859680176,2048
compresspp_kt,23,5,10000,0.006653355294188673,0.4775221347808838,64
compress_kt,24,5,10000,0.0002038765926471453,0.49417996406555176,2048
compresspp_kt,24,5,10000,0.006499844008496708,0.47496795654296875,64
compress_kt,25,5,10000,0.00020812114404430981,0.4486069679260254,2048
compresspp_kt,25,5,10000,0.006382035934708097,0.47765517234802246,64
compress_kt,26,5,10000,0.0002059858290246741,0.4677708148956299,2048
compresspp_kt,26,5,10000,0.0063753331455401185,0.47788476943969727,64
compress_kt,27,5,10000,0.00020857735723661674,0.45493102073669434,2048
compresspp_kt,27,5,10000,0.00654112024316994,0.46271610260009766,64
compress_kt,28,5,10000,0.00020965465911498837,0.46190309524536133,2048
compresspp_kt,28,5,10000,0.006464999332234933,0.47616004943847656,64
compress_kt,29,5,10000,0.00020685018132529653,0.46898913383483887,2048
compresspp_kt,29,5,10000,0.0063642656625994,0.4961371421813965,64
compress_kt,30,5,10000,0.0002054353909397011,0.4671630859375,2048
compresspp_kt,30,5,10000,0.0063281130417552345,0.477614164352417,64
compress_kt,31,5,10000,0.00020222211911188892,0.458237886428833,2048
compresspp_kt,31,5,10000,0.006599044542969196,0.4774186611175537,64
compress_kt,32,5,10000,0.0002073909318021372,0.4557621479034424,2048
compresspp_kt,32,5,10000,0.0062310047915713485,0.4731481075286865,64
compress_kt,0,6,10000,0.00015785819097854925,0.00028395652770996094,4096
compresspp_kt,0,6,10000,0.006390946085712529,0.4674251079559326,64
compress_kt,1,6,10000,0.00015785819097854925,0.0002608299255371094,4096
compresspp_kt,1,6,10000,0.006322487390303888,0.47974300384521484,64
compress_kt,2,6,10000,0.00015785819097854925,0.0002849102020263672,4096
compresspp_kt,2,6,10000,0.006161197185384659,0.4700911045074463,64
