dataset_id,name,n_features_before_preprocessing,n_classes,n_samples_train,n_samples_test,n_features_after_preprocessing,f1_ann,roc_auc_ann,f1_xgboost,roc_auc_xgboost
3,kr-vs-kp,36,2,2397,799,36,0.9650180940892642,0.9958278436539306,0.9903147699757869,0.9997615910659389
6,letter,16,26,14166,4894,16,0.9423527337317892,0.9992910540892866,0.9605980795734067,0.9995626559908836
11,balance-scale,4,3,468,157,4,0.9573824971914145,0.9985240057682448,0.8683864118895964,0.9787023996875752
12,mfeat-factors,216,10,1496,500,216,0.9621072354163743,0.9986669604763309,0.9681463666731377,0.9980109954427755
14,mfeat-fourier,76,10,1498,499,76,0.7952909753939964,0.9728695308876255,0.8252512118490516,0.9790686986555862
15,breast-w,9,2,352,141,9,0.9714285714285714,0.9915458937198067,0.9496402877697842,0.9915458937198067
16,mfeat-karhunen,64,10,1496,499,64,0.9416415217530171,0.9978928998496749,0.964035758534994,0.9977994702280889
18,mfeat-morphological,6,10,1497,500,6,0.7393127331840946,0.9705952632760148,0.701047357638458,0.957262215770001
22,mfeat-zernike,47,10,1499,497,47,0.7992134004514089,0.9791346214901875,0.7872586518919593,0.9633923519560363
23,cmc,9,3,1078,367,23,0.517317721581749,0.6995323794054374,0.4916451593868587,0.6834243387028549
28,optdigits,64,10,4215,1405,62,0.9836353317422486,0.9996999512982245,0.9807654958247395,0.9996647401700615
29,credit-approval,15,2,517,173,15,0.8900523560209425,0.9378624689312345,0.8686868686868687,0.9230875448771058
31,credit-g,20,2,750,250,20,0.8333333333333334,0.785629099582588,0.8539944903581267,0.7795169946332737
32,pendigits,16,10,8244,2748,16,0.9952696383827734,0.9993380200536051,0.9905348264157637,0.9996221032412587
37,diabetes,8,2,576,192,8,0.6212121212121212,0.81689453125,0.6466165413533834,0.8040771484375
44,spambase,57,2,3190,1097,57,0.9291338582677166,0.979673398635263,0.9395973154362416,0.9908289538850978
46,splice,60,3,2280,781,180,0.931064616597601,0.9859736844126947,0.9591722774437494,0.9921099434972215
50,tic-tac-toe,9,2,718,240,9,0.9130434782608695,0.9649041074617595,0.9845201238390093,0.992778942464477
54,vehicle,18,4,634,212,18,0.8081843461819436,0.9483522745207484,0.7583736522713215,0.9140068887535154
151,electricity,8,2,33984,11328,8,0.7791288967499447,0.9039407530576442,0.9040008356836937,0.9766566503575087
