dataset_id,name,n_features_before_preprocessing,n_classes,n_samples_train,n_samples_test,n_features_after_preprocessing,f1_ann,roc_auc_ann,f1_xgboost,roc_auc_xgboost
182,satimage,36,6,4822,1608,36,0.8986997484367876,0.9892809510889367,0.9087157989950599,0.9917130172557901
188,eucalyptus,19,5,552,184,39,0.6398933047033452,0.9001203934560607,0.6423609935537337,0.890435212659702
38,sick,29,2,2789,939,27,0.7350427350427351,0.9602631006740595,0.8780487804878049,0.994781474233529
307,vowel,12,11,742,248,32,0.9608849308794081,0.99950009377162,0.8859382290407959,0.9944357439686707
300,isolet,617,26,5847,1950,617,0.9473362710067831,0.999066266149504,0.9484355962557178,0.9988007825306463
458,analcatdata_authorship,70,4,630,211,70,0.9858318418647257,0.9998284266877772,0.9904848247140642,0.999230543072876
469,analcatdata_dmft,4,6,441,174,24,0.11146183728381001,0.5427090254690062,0.19263359773851407,0.5332393338448139
554,mnist_784,784,10,52500,17500,710,0.9676983160026338,0.9986739042426154,0.978573354309721,0.9996261362326132
1049,pc4,37,2,1017,352,37,0.6578947368421053,0.9371523178807947,0.6582278481012658,0.9639072847682119
1050,pc3,37,2,1091,377,37,0.0,0.7843708165997323,0.2222222222222222,0.7861780455153949
1053,jm1,21,2,6820,2420,21,0.209375,0.6945319972231567,0.33668341708542715,0.6775009630523321
1063,kc2,21,2,293,98,21,0.5,0.8303348325837082,0.4583333333333333,0.7063968015992004
1067,kc1,21,2,956,355,21,0.3137254901960784,0.7273095238095239,0.390625,0.6738333333333333
1068,pc1,21,2,737,258,21,0.0,0.8264705882352941,0.29411764705882354,0.8165966386554623
1590,adult,14,2,36600,12209,14,0.6712660824165579,0.9113063528634022,0.7083179297597042,0.9263513778939948
4134,Bioresponse,1776,2,2813,938,1774,0.7936821322803553,0.8541452563979592,0.8149606299212598,0.8802760611500112
1510,wdbc,30,2,426,143,30,0.9629629629629629,0.9975031210986267,0.9541284403669725,0.9941739492301289
1489,phoneme,5,2,4046,1351,5,0.7390180878552972,0.9252006005073251,0.8060836501901141,0.9525029766526893
1494,qsar-biodeg,41,2,789,264,41,0.8092485549132948,0.9081169898126848,0.7544910179640718,0.917844232665133
1497,wall-robot-navigation,24,4,4092,1364,24,0.8936266170727131,0.9687619830166454,0.9963341892613421,0.9999599366439055
1501,semeion,256,10,1194,399,256,0.9021889915972677,0.9921732088920855,0.8921237270692515,0.9944362007055759
1480,ilpd,10,2,431,144,10,0.32142857142857145,0.7140522875816993,0.3561643835616438,0.7399626517273576
1485,madelon,500,2,1950,650,500,0.5365853658536586,0.5668793431992492,0.7879746835443038,0.8680236251078394
1486,nomao,118,2,24319,8335,118,0.9729091062536923,0.9917894713422953,0.9785371601717027,0.9948552097228254
1487,ozone-level-8hr,72,2,1897,630,72,0.3793103448275862,0.8473305084745761,0.3793103448275862,0.8886864406779662
1468,cnae-9,856,9,793,267,767,0.9050173240462663,0.9956833127260115,0.9296135995003859,0.9932989214266328
1475,first-order-theorem-proving,51,6,4298,1488,51,0.49897994717139627,0.7940443302968893,0.5964090325457653,0.858450596014601
1462,banknote-authentication,4,2,1016,340,4,1.0,1.0,0.9968652037617555,1.0
1464,blood-transfusion-service-center,4,2,414,153,4,0.13333333333333333,0.6986062717770035,0.43037974683544306,0.660605400696864
4534,PhishingWebsites,30,2,4944,2237,30,0.9464812473662031,0.9882062092571583,0.9732711073398388,0.9962762564980225
6332,cylinder-bands,37,2,405,135,35,0.7948717948717948,0.8227620332883491,0.8280254777070064,0.8529014844804319
1461,bank-marketing,16,2,33908,11303,16,0.5270567531896172,0.9185136369980046,0.5512660855126609,0.9318504165733555
4538,GesturePhaseSegmentationProcessed,32,5,7404,2469,32,0.5275915059018683,0.815046604173513,0.6688257702849332,0.8968542679021407
1478,har,561,6,7724,2575,561,0.9731786138460417,0.9988643271557596,0.9914459375720288,0.999893475304936
23381,dresses-sales,12,2,375,125,12,0.5208333333333334,0.6573498964803313,0.44680851063829785,0.6394927536231885
40499,texture,40,11,4111,1373,40,0.9934352385664469,0.9999018871511018,0.9796095076283577,0.999771669633724
40668,connect-4,42,3,50667,16890,126,0.8275156833438552,0.9420464741715819,0.8334800592112364,0.9523692698551752
40966,MiceProtein,77,8,810,270,77,0.996307795734593,0.9999838969404188,0.9630695204769278,0.9994358303992692
40982,steel-plates-fault,27,7,1455,486,27,0.7712041525467915,0.9310862655972945,0.8030938871802747,0.9541539075557937
40994,climate-model-simulation-crashes,18,2,405,135,18,0.9767441860465116,0.8580246913580246,0.984375,0.9135802469135803
40983,wilt,5,2,3624,1206,5,0.8873239436619719,0.9971327967806841,0.8208955223880597,0.99307092555332
40975,car,6,4,1296,432,24,0.9539876909646827,0.9967582262610525,0.9908326903007755,0.9998145263148979
40984,segment,16,7,1564,564,16,0.9142653740803867,0.991311540871555,0.9394943392765704,0.9961268066906946
40979,mfeat-pixel,240,10,1499,500,240,0.9599473482800914,0.9990202575726377,0.9620788582983376,0.9986939449345107
40996,Fashion-MNIST,784,10,52500,17500,784,0.8926815431951333,0.9920404905966307,0.9085160527010094,0.9941434215390772
41027,jungle_chess_2pcs_raw_endgame_complete,6,3,33614,11205,6,0.875528547229587,0.9777564438841005,0.8721839144579328,0.9783859687090715
23517,numerai28.6,21,2,72240,24080,21,0.5901511664955571,0.5280636055241328,0.5243985977354233,0.5111085907867544
40923,Devnagari-Script,1024,46,68983,22998,784,0.8945890626473072,0.9976260610214044,0.9198288315034014,0.9984628803325375
40927,CIFAR_10,3072,10,45000,15000,3072,0.50856621987413,0.8833073745355875,0.5706751001059382,0.9086202046550254
40978,Internet-Advertisements,1558,2,1889,693,1558,0.9871685201026519,0.9896827561130807,0.9854576561163387,0.9859103717843832
40670,dna,180,3,2287,779,540,0.9218293812778341,0.9862636441131803,0.9641837694917356,0.9944699196245057
40701,churn,20,2,3750,1250,20,0.793002915451895,0.921620789842939,0.8271604938271605,0.9280837102066152
