mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.002464240303204038,0.6766399999999999,780.3162920475006,8,0.22631154511892965,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.007467031478881836,6
0.001926652139180234,0.7171199999999999,1191.1619069576263,16,0.10807514888661274,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.013419628143310547,12
0.001280375566921165,0.7542399999999999,2005.6074135303497,32,0.045891286363120676,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.025049448013305664,25
0.001090177435415853,0.77728,3635.166639328003,64,0.028777307208768865,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.0478060245513916,50
0.000846423916441244,0.8159999999999998,6840.961132287979,128,0.013192736767479563,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.09450006484985352,101
0.002457797717525383,0.6771199999999999,780.203165769577,8,0.22631154511892965,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.006845712661743164,6
0.001926085483494707,0.71888,1183.350732088089,16,0.10807514888661274,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.013431549072265625,12
0.0012821861952060827,0.75696,1986.752349615097,32,0.045891286363120676,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.024078369140625,25
0.0010905545248564585,0.7785599999999998,3610.5831072330475,64,0.028777307208768865,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.04748058319091797,50
0.0008471450771075442,0.8113599999999999,6819.8899557590485,128,0.013192736767479563,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.10141825675964355,101
0.0024589669252674832,0.67424,777.2252569198608,8,0.22631154511892965,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.009063482284545898,6
0.0019253319786333423,0.7169599999999999,1177.2589633464813,16,0.10807514888661274,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.013315916061401367,12
0.0012822220131121459,0.7587199999999998,1981.719064950943,32,0.045891286363120676,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.025588274002075195,25
0.001092721352352584,0.78016,3588.974150657654,64,0.028777307208768865,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.04864501953125,50
0.0008443966513687682,0.812,6832.614778757095,128,0.013192736767479563,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.09351086616516113,101
0.0024598528686391717,0.67104,781.0786392688751,8,0.22631154511892965,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.00648951530456543,6
0.001925457109993065,0.7203199999999998,1187.285088300705,16,0.10807514888661274,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.012617349624633789,12
0.001279100871201695,0.75728,2000.423641204834,32,0.045891286363120676,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.02354574203491211,25
0.0010902203202849663,0.7798399999999999,3645.2068367004395,64,0.028777307208768865,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.04693007469177246,50
0.0008414221778029594,0.8136,6850.839205265045,128,0.013192736767479563,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.15132451057434082,101
0.0024601473448602053,0.67552,777.3989958763123,8,0.22631154511892965,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.00738215446472168,6
0.0019240498432056498,0.71856,1184.7923724651337,16,0.10807514888661274,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.012563705444335938,12
0.0012793195706917691,0.7593599999999999,1991.3177270889282,32,0.045891286363120676,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.025227069854736328,25
0.0010902278999607637,0.7756799999999999,3674.4223141670227,64,0.028777307208768865,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.04496002197265625,50
0.0008463277270829852,0.81536,6883.449754714966,128,0.013192736767479563,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.0972437858581543,101
0.0024605338694740297,0.6748799999999999,785.2709360122681,8,0.22631154511892965,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.007032871246337891,6
0.0019252297995733623,0.71936,1194.5202503204346,16,0.10807514888661274,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.013009786605834961,12
0.0012821693117726408,0.7588799999999999,2005.2140364646912,32,0.045891286363120676,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.04584050178527832,25
0.0010918215897104413,0.7791999999999999,3645.3100469112396,64,0.028777307208768865,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.0509488582611084,50
0.0008467954494236557,0.81168,6840.0296313762665,128,0.013192736767479563,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.09385156631469727,101
0.0024630196377663444,0.6772799999999999,780.2996854782104,8,0.22631154511892965,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.007230043411254883,6
0.0019289122192201016,0.7185599999999999,1184.316385269165,16,0.10807514888661274,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.012556791305541992,12
0.0012823283379755,0.7524799999999999,1991.2738921642303,32,0.045891286363120676,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.02276301383972168,25
