mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,m,compression_time
0.013601572291550349,0.9577599999999998,39.26688623428345,32,0.009297199249513888,shap,kernel,kernel_thinning,gaussian,4.0,32.0,15.0,0.03800630569458008
0.00871880984978079,0.9704,54.0216281414032,64,0.004281731786749565,shap,kernel,kernel_thinning,gaussian,4.0,32.0,-3.0,0.008946657180786133
0.0042765553787929575,0.9877600000000001,106.13068437576294,128,0.0021668542807248836,shap,kernel,kernel_thinning,gaussian,4.0,32.0,-4.0,0.009888410568237305
0.1307828719351335,0.7364799999999999,27.186073541641235,32,0.5228200639894341,shap,kernel,kernel_thinning,sobolev,4.0,32.0,15.0,0.051850318908691406
0.07600921174895706,0.7956799999999999,55.076852321624756,64,0.45470226279591364,shap,kernel,kernel_thinning,sobolev,4.0,32.0,-3.0,0.013076543807983398
0.12760669936099672,0.7082399999999999,106.03865575790405,128,0.5011541865292604,shap,kernel,kernel_thinning,sobolev,4.0,32.0,-4.0,0.013792753219604492
0.010380824438213483,0.9677600000000001,27.115711212158203,32,0.008784348608760761,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,15.0,0.031656742095947266
0.008180555705296215,0.97672,55.07937288284302,64,0.004196728618158285,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,-3.0,0.008228778839111328
0.004895749250133926,0.9836799999999999,106.31461310386658,128,0.0019570109218011167,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,-4.0,0.008716821670532227
0.01747254499508198,0.9464799999999999,27.11533784866333,32,0.009445475928536284,shap,kernel,kernel_thinning,matern_0.5,4.0,32.0,15.0,0.039067983627319336
0.009372303816589026,0.9726400000000002,55.77495574951172,64,0.004201162587128382,shap,kernel,kernel_thinning,matern_0.5,4.0,32.0,-3.0,0.009891033172607422
0.009708079349616434,0.9680799999999999,107.48910069465637,128,0.002136838802187624,shap,kernel,kernel_thinning,matern_0.5,4.0,32.0,-4.0,0.010499000549316406
0.024927555540450567,0.9247200000000001,27.178057193756104,32,0.011072048306844329,shap,kernel,kernel_thinning,matern_1.5,4.0,32.0,15.0,0.038796186447143555
0.011331389752857754,0.9666399999999999,55.026031494140625,64,0.004570822961807275,shap,kernel,kernel_thinning,matern_1.5,4.0,32.0,-3.0,0.009660720825195312
0.008339355291016539,0.9723200000000001,106.65460777282715,128,0.0019439386109378343,shap,kernel,kernel_thinning,matern_1.5,4.0,32.0,-4.0,0.010486125946044922
0.028129336443525606,0.9140799999999999,27.237935781478882,32,0.010663023117573667,shap,kernel,kernel_thinning,matern_2.5,4.0,32.0,15.0,0.038486480712890625
0.009515812774369355,0.9723200000000001,55.13646221160889,64,0.00442305583471847,shap,kernel,kernel_thinning,matern_2.5,4.0,32.0,-3.0,0.009682893753051758
0.009725329554794724,0.9713599999999999,106.55468964576721,128,0.0021338041827954624,shap,kernel,kernel_thinning,matern_2.5,4.0,32.0,-4.0,0.010271787643432617
0.014259206209277727,0.9565599999999999,28.068687200546265,32,0.009330721473725379,shap,kernel,kernel_thinning,gaussian,4.0,32.0,15.0,0.03560352325439453
0.011877491217386687,0.9600799999999999,54.83390164375305,64,0.004669534997925162,shap,kernel,kernel_thinning,gaussian,4.0,32.0,-3.0,0.008932113647460938
0.006647887664420369,0.9784800000000001,106.40886092185974,128,0.0023615621151258925,shap,kernel,kernel_thinning,gaussian,4.0,32.0,-4.0,0.009651899337768555
0.13077996669546516,0.7373599999999999,27.149528980255127,32,0.5228200639894341,shap,kernel,kernel_thinning,sobolev,4.0,32.0,15.0,0.05108189582824707
0.07599178436516262,0.7951199999999999,55.253357887268066,64,0.45470226279591364,shap,kernel,kernel_thinning,sobolev,4.0,32.0,-3.0,0.013043403625488281
0.127624320067983,0.70856,106.95561194419861,128,0.5011541865292604,shap,kernel,kernel_thinning,sobolev,4.0,32.0,-4.0,0.014066696166992188
0.016543270193664937,0.95088,27.842219591140747,32,0.008737713664329183,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,15.0,0.03169679641723633
0.009896366064340646,0.9664,55.86349654197693,64,0.004196947158741138,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,-3.0,0.008013725280761719
0.005580515730938797,0.9832800000000002,106.36881375312805,128,0.0020736296864451997,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,-4.0,0.008613109588623047
0.030309858419807417,0.9116,27.66418433189392,32,0.010236008400784313,shap,kernel,kernel_thinning,matern_0.5,4.0,32.0,15.0,0.03905463218688965
0.010589219948075348,0.9668,55.042535066604614,64,0.0040188051697798155,shap,kernel,kernel_thinning,matern_0.5,4.0,32.0,-3.0,0.009867668151855469
0.006972823056929701,0.9777600000000001,107.37500286102295,128,0.0019519067750324859,shap,kernel,kernel_thinning,matern_0.5,4.0,32.0,-4.0,0.010545730590820312
0.02177427959809945,0.9396800000000001,27.560028076171875,32,0.010197357889581204,shap,kernel,kernel_thinning,matern_1.5,4.0,32.0,15.0,0.039875030517578125
