method,repeat,num_bins,n,mmd,t,num_points_selected
compresspp_kt,0,4,10000,0.009092230827121794,0.004486083984375,64
compresspp_kt,1,4,10000,0.009302313351750163,0.0026857852935791016,64
compresspp_kt,2,4,10000,0.009157396811492247,0.002599000930786133,64
compresspp_kt,3,4,10000,0.008730511697699866,0.0027379989624023438,64
compresspp_kt,4,4,10000,0.009004503226643396,0.002747058868408203,64
compresspp_kt,5,4,10000,0.009351092936385863,0.0028312206268310547,64
compresspp_kt,6,4,10000,0.008746278377201044,0.002695798873901367,64
compresspp_kt,7,4,10000,0.009787763817300343,0.0027680397033691406,64
compresspp_kt,8,4,10000,0.009462952355742543,0.0026857852935791016,64
compresspp_kt,9,4,10000,0.008928323291215484,0.0027620792388916016,64
compresspp_kt,10,4,10000,0.008826927262466838,0.0027551651000976562,64
compresspp_kt,11,4,10000,0.009160249944228982,0.0026700496673583984,64
compresspp_kt,12,4,10000,0.009082809496214456,0.0026938915252685547,64
compresspp_kt,13,4,10000,0.00916598320232584,0.0027608871459960938,64
compresspp_kt,14,4,10000,0.009143125865582857,0.002911806106567383,64
compresspp_kt,15,4,10000,0.008954578866124552,0.0029833316802978516,64
compresspp_kt,16,4,10000,0.009157632047700925,0.0029871463775634766,64
compresspp_kt,17,4,10000,0.009495372557811438,0.002824068069458008,64
compresspp_kt,18,4,10000,0.009021193619785262,0.003303050994873047,64
compresspp_kt,19,4,10000,0.00892894329345692,0.0028519630432128906,64
compresspp_kt,20,4,10000,0.009325398320882972,0.002925872802734375,64
compresspp_kt,21,4,10000,0.009717403821555476,0.002769947052001953,64
compresspp_kt,22,4,10000,0.010245479148548065,0.002704143524169922,64
compresspp_kt,23,4,10000,0.009130642659651467,0.002771139144897461,64
compresspp_kt,24,4,10000,0.008455135310239476,0.0027320384979248047,64
compresspp_kt,25,4,10000,0.008729505217630135,0.002763032913208008,64
compresspp_kt,26,4,10000,0.009147975095613936,0.0027599334716796875,64
compresspp_kt,27,4,10000,0.00868544714871941,0.002964019775390625,64
compresspp_kt,28,4,10000,0.008781726986922117,0.002937793731689453,64
compresspp_kt,29,4,10000,0.009452943163502925,0.0028557777404785156,64
compresspp_kt,30,4,10000,0.009846058663133317,0.0028510093688964844,64
compresspp_kt,31,4,10000,0.008582681923395424,0.002752065658569336,64
compresspp_kt,32,4,10000,0.009609869064133386,0.002701997756958008,64
compresspp_kt,0,16,10000,0.008133119784935111,0.0034668445587158203,64
compresspp_kt,1,16,10000,0.00857855240909619,0.0034270286560058594,64
compresspp_kt,2,16,10000,0.008425557053097582,0.003487825393676758,64
compresspp_kt,3,16,10000,0.00814086880412554,0.003437042236328125,64
compresspp_kt,4,16,10000,0.008567770890992199,0.0033941268920898438,64
compresspp_kt,5,16,10000,0.008168781855639545,0.0034477710723876953,64
compresspp_kt,6,16,10000,0.008572013154181296,0.0033969879150390625,64
compresspp_kt,7,16,10000,0.008143644890012819,0.0034329891204833984,64
compresspp_kt,8,16,10000,0.008122561233954911,0.00339508056640625,64
compresspp_kt,9,16,10000,0.00782987265773627,0.0033860206604003906,64
compresspp_kt,10,16,10000,0.008506597322030629,0.003410816192626953,64
compresspp_kt,11,16,10000,0.008139183711210196,0.0034050941467285156,64
compresspp_kt,12,16,10000,0.00869849650853341,0.0034580230712890625,64
compresspp_kt,13,16,10000,0.008099598234993927,0.0034339427947998047,64
compresspp_kt,14,16,10000,0.008262384449819887,0.003480672836303711,64
compresspp_kt,15,16,10000,0.00829725886831964,0.0035161972045898438,64
compresspp_kt,16,16,10000,0.008106562031286124,0.003470897674560547,64
compresspp_kt,17,16,10000,0.008044977755964161,0.0034339427947998047,64
compresspp_kt,18,16,10000,0.008106522922695064,0.003467082977294922,64
compresspp_kt,19,16,10000,0.00826894291794844,0.003432750701904297,64
compresspp_kt,20,16,10000,0.007983611462668516,0.003437042236328125,64
compresspp_kt,21,16,10000,0.008152730294949034,0.0034160614013671875,64
compresspp_kt,22,16,10000,0.008296306899197192,0.0038650035858154297,64
compresspp_kt,23,16,10000,0.008256987544386779,0.003445148468017578,64
compresspp_kt,24,16,10000,0.008420415576572943,0.003957986831665039,64
compresspp_kt,25,16,10000,0.008230087933218222,0.0035560131072998047,64
compresspp_kt,26,16,10000,0.008646055795302726,0.003731966018676758,64
compresspp_kt,27,16,10000,0.008512092494567997,0.00344085693359375,64
compresspp_kt,28,16,10000,0.008306935368437296,0.0034160614013671875,64
compresspp_kt,29,16,10000,0.008161864937853897,0.0034186840057373047,64
compresspp_kt,30,16,10000,0.00816232780077883,0.003426790237426758,64
compresspp_kt,31,16,10000,0.00806584240303565,0.0034189224243164062,64
compresspp_kt,32,16,10000,0.007964070615783664,0.0034177303314208984,64
compresspp_kt,0,64,10000,0.007476159872642496,0.0074939727783203125,64
compresspp_kt,1,64,10000,0.007544891246532348,0.00732111930847168,64
compresspp_kt,2,64,10000,0.007660708721630216,0.007477998733520508,64
compresspp_kt,3,64,10000,0.007817912309237202,0.0074999332427978516,64
compresspp_kt,4,64,10000,0.007364614250858298,0.007420063018798828,64
compresspp_kt,5,64,10000,0.007684664698278859,0.0073282718658447266,64
compresspp_kt,6,64,10000,0.00764461780758785,0.007413148880004883,64
compresspp_kt,7,64,10000,0.007674066007713504,0.007397890090942383,64
compresspp_kt,8,64,10000,0.007590061457280861,0.007395267486572266,64
compresspp_kt,9,64,10000,0.007632112480171982,0.007478952407836914,64
compresspp_kt,10,64,10000,0.007990955159998703,0.0074748992919921875,64
compresspp_kt,11,64,10000,0.007380921714982169,0.0074689388275146484,64
compresspp_kt,12,64,10000,0.007423910636543879,0.0075130462646484375,64
compresspp_kt,13,64,10000,0.008115112287362947,0.007397174835205078,64
compresspp_kt,14,64,10000,0.007867418272156451,0.007369041442871094,64
compresspp_kt,15,64,10000,0.007588084578339871,0.0074350833892822266,64
compresspp_kt,16,64,10000,0.008213391962404504,0.007394075393676758,64
compresspp_kt,17,64,10000,0.007822179345373242,0.007355213165283203,64
compresspp_kt,18,64,10000,0.007936843224952389,0.007367849349975586,64
compresspp_kt,19,64,10000,0.007585426629628023,0.007350921630859375,64
compresspp_kt,20,64,10000,0.007636026769608367,0.0073909759521484375,64
compresspp_kt,21,64,10000,0.0075078484301756565,0.00751495361328125,64
compresspp_kt,22,64,10000,0.007788906777424942,0.007427692413330078,64
compresspp_kt,23,64,10000,0.007444654267601686,0.0075228214263916016,64
compresspp_kt,24,64,10000,0.007824729026185917,0.007486820220947266,64
compresspp_kt,25,64,10000,0.007753115996307208,0.007395029067993164,64
compresspp_kt,26,64,10000,0.007836412112736446,0.0074121952056884766,64
compresspp_kt,27,64,10000,0.007334058266240506,0.007494926452636719,64
compresspp_kt,28,64,10000,0.007709858366245853,0.007459163665771484,64
compresspp_kt,29,64,10000,0.007623606168749464,0.0073451995849609375,64
compresspp_kt,30,64,10000,0.008178841163158479,0.00734400749206543,64
compresspp_kt,31,64,10000,0.008073034975720622,0.0074160099029541016,64
compresspp_kt,32,64,10000,0.007818202494201648,0.007535219192504883,64
compresspp_kt,0,256,10000,0.007417961389750705,0.02477288246154785,64
compresspp_kt,1,256,10000,0.007020463368611479,0.02450418472290039,64
compresspp_kt,2,256,10000,0.006988683941057727,0.024663925170898438,64
compresspp_kt,3,256,10000,0.006978273435292837,0.024799108505249023,64
compresspp_kt,4,256,10000,0.006833305355217367,0.024498939514160156,64
compresspp_kt,5,256,10000,0.006972842785598982,0.02482295036315918,64
compresspp_kt,6,256,10000,0.007092270230261349,0.024703025817871094,64
compresspp_kt,7,256,10000,0.007253130892481446,0.024812698364257812,64
compresspp_kt,8,256,10000,0.007020107973001982,0.024943113327026367,64
compresspp_kt,9,256,10000,0.006930943247835303,0.02479100227355957,64
compresspp_kt,10,256,10000,0.00699940124240836,0.024808883666992188,64
compresspp_kt,11,256,10000,0.007204913035708027,0.024846792221069336,64
compresspp_kt,12,256,10000,0.00741823984033399,0.024622201919555664,64
compresspp_kt,13,256,10000,0.007222159138813605,0.02511310577392578,64
compresspp_kt,14,256,10000,0.006974453168591105,0.024482011795043945,64
compresspp_kt,15,256,10000,0.007165179991245912,0.024774789810180664,64
compresspp_kt,16,256,10000,0.007118902710781805,0.02486562728881836,64
compresspp_kt,17,256,10000,0.007250406579256741,0.024550199508666992,64
compresspp_kt,18,256,10000,0.007039505379738159,0.024467945098876953,64
compresspp_kt,19,256,10000,0.007241898627835114,0.024837017059326172,64
compresspp_kt,20,256,10000,0.007219272503530716,0.02471017837524414,64
compresspp_kt,21,256,10000,0.006652997752775475,0.024623870849609375,64
compresspp_kt,22,256,10000,0.007297557282649414,0.024631023406982422,64
compresspp_kt,23,256,10000,0.0071009179375290665,0.024956226348876953,64
compresspp_kt,24,256,10000,0.006862872279628507,0.02492499351501465,64
compresspp_kt,25,256,10000,0.007116251965180287,0.02477288246154785,64
compresspp_kt,26,256,10000,0.007098552159648136,0.02487492561340332,64
compresspp_kt,27,256,10000,0.007235184727347382,0.024885892868041992,64
compresspp_kt,28,256,10000,0.007123640791501906,0.02471184730529785,64
compresspp_kt,29,256,10000,0.007201190839445731,0.024724960327148438,64
compresspp_kt,30,256,10000,0.00727822686629559,0.024483203887939453,64
compresspp_kt,31,256,10000,0.006979603375502935,0.02465200424194336,64
compresspp_kt,32,256,10000,0.007027274849714299,0.02474379539489746,64
compresspp_kt,0,1024,10000,0.00676985525618598,0.10155892372131348,64
compresspp_kt,1,1024,10000,0.006890460130475395,0.10158061981201172,64
compresspp_kt,2,1024,10000,0.006643695616311784,0.1015019416809082,64
compresspp_kt,3,1024,10000,0.0066871005480999834,0.10178112983703613,64
compresspp_kt,4,1024,10000,0.006820887043783919,0.10125017166137695,64
compresspp_kt,5,1024,10000,0.006821807070656771,0.10142683982849121,64
compresspp_kt,6,1024,10000,0.006475076199414259,0.10140800476074219,64
compresspp_kt,7,1024,10000,0.006773967024911787,0.10176324844360352,64
compresspp_kt,8,1024,10000,0.006703010115010705,0.10145998001098633,64
compresspp_kt,9,1024,10000,0.0067454599317380015,0.10184979438781738,64
compresspp_kt,10,1024,10000,0.007010633030253066,0.10137176513671875,64
compresspp_kt,11,1024,10000,0.006653943200135043,0.1018838882446289,64
compresspp_kt,12,1024,10000,0.006698075225894662,0.1013331413269043,64
compresspp_kt,13,1024,10000,0.006633544405387215,0.10155510902404785,64
compresspp_kt,14,1024,10000,0.006835426936100397,0.10130810737609863,64
compresspp_kt,15,1024,10000,0.006785427107907305,0.10187911987304688,64
