dataset,size,model,explainer,strategy,compression_time_arfpy_Not needed,compression_time_iid_Not needed,compression_time_kernel_thinning_gaussian,compression_time_kernel_thinning_inverse_multiquadric,compression_time_kernel_thinning_matern,compression_time_kernel_thinning_predictions,compression_time_kernel_thinning_sobolev,compression_time_kernel_thinning_stratified,compression_time_stein_thinning_Not needed,explanation_time_arfpy_Not needed,explanation_time_iid_Not needed,explanation_time_kernel_thinning_gaussian,explanation_time_kernel_thinning_inverse_multiquadric,explanation_time_kernel_thinning_matern,explanation_time_kernel_thinning_predictions,explanation_time_kernel_thinning_sobolev,explanation_time_kernel_thinning_stratified,explanation_time_stein_thinning_Not needed,mae_arfpy_Not needed,mae_iid_Not needed,mae_kernel_thinning_gaussian,mae_kernel_thinning_inverse_multiquadric,mae_kernel_thinning_matern,mae_kernel_thinning_predictions,mae_kernel_thinning_sobolev,mae_kernel_thinning_stratified,mae_stein_thinning_Not needed,mmd_arfpy_Not needed,mmd_iid_Not needed,mmd_kernel_thinning_gaussian,mmd_kernel_thinning_inverse_multiquadric,mmd_kernel_thinning_matern,mmd_kernel_thinning_predictions,mmd_kernel_thinning_sobolev,mmd_kernel_thinning_stratified,mmd_stein_thinning_Not needed,top_k_arfpy_Not needed,top_k_iid_Not needed,top_k_kernel_thinning_gaussian,top_k_kernel_thinning_inverse_multiquadric,top_k_kernel_thinning_matern,top_k_kernel_thinning_predictions,top_k_kernel_thinning_sobolev,top_k_kernel_thinning_stratified,top_k_stein_thinning_Not needed
GesturePhaseSegmentationProcessed,8,nn,expected_gradients,na,76.93097550868988,0.0002288579940795,0.0179893970489501,0.0122439622879027,0.0171433210372924,0.0225667476654052,0.0836996793746947,,0.0362104177474975,81.16469702720642,178.1815761089325,135.12113599777223,138.64408786296843,141.40071635246278,154.34722747802735,136.0842295885086,,79.75323793888091,0.0916286826133727,0.0752588782459497,0.0499774925410747,0.0459708087146282,0.0533073805272579,0.0515987873077392,0.8595378398895264,,0.0529433935880661,0.0922321303933867,0.0745442681996854,0.0309782627024894,0.0333926177723922,0.0320120599656575,0.0308939362833996,1.4291546116570353,,0.0476313852213665,0.6672904009720535,0.7003726204941272,0.7806399351964358,0.7901174564601052,0.7956257594167678,0.7491292021061158,0.366383151073309,,0.7701093560145807
GesturePhaseSegmentationProcessed,16,nn,expected_gradients,na,82.51274783611298,0.0002693891525267,0.0133352518081664,0.0127943038940429,0.0162337541580199,0.0132358074188231,0.0823038101196288,,0.033447766304016,137.65050644874572,225.0827764749527,177.0044252872467,183.77773628234863,183.42528049945832,251.43601682186127,183.83897352218628,,134.5982377052307,0.0714058283716439,0.0621185716241597,0.0336853452026844,0.0334229804575443,0.0403989255428314,0.035159284621477,0.8595378398895264,,0.0447180494666099,0.058395777012166,0.0341369020283416,0.0154566014175927,0.0146965486984965,0.0159884592385729,0.0160914867838807,1.4291546116570348,,0.0337274119260894,0.7199837991089509,0.7595787768327258,0.8605103280680438,0.8363872012960714,0.8223572296476306,0.8398217901984608,0.366383151073309,,0.7865532604293236
GesturePhaseSegmentationProcessed,17,nn,expected_gradients,na,,,,,,,,0.0024603843688964,,,,,,,,,142.43291838169097,,,,,,,,,0.0391841676086186,,,,,,,,,0.0202562600343842,,,,,,,,,0.8193438639125151,
GesturePhaseSegmentationProcessed,32,nn,expected_gradients,na,84.36635582447052,0.0002075672149657,0.0158126354217528,0.0146004676818847,0.0195441722869872,0.013105797767639,0.0822933673858642,,0.064974284172058,228.22296075820924,332.92752118110656,283.9976872205734,288.85365946292876,289.26047656536105,428.3261404275894,289.05959408283235,,225.5234042882919,0.0493461046367883,0.0469027223065494,0.0289488650858401,0.0288041539490222,0.0316903870552777,0.0311849765479564,0.66719651222229,,0.0300879534333943,0.0338670784311162,0.0187919067153316,0.007710903285219,0.0077826617777237,0.0080820156253049,0.0074527367203192,1.4250902722310668,,0.0182987548059584,0.7842851356824625,0.8015228837586067,0.8662292426083434,0.8674686107735925,0.8579181855002025,0.8521101660591333,0.3276306196840826,,0.8306196840826244
GesturePhaseSegmentationProcessed,34,nn,expected_gradients,na,,,,,,,,0.0030987262725829,,,,,,,,,227.22451469898223,,,,,,,,,0.0347508249804377,,,,,,,,,0.0122547194433667,,,,,,,,,0.8415390846496557,
GesturePhaseSegmentationProcessed,64,nn,expected_gradients,na,80.61949148178101,0.0002292394638061,0.014088225364685,0.012583303451538,0.0181328535079955,0.0279953956604003,0.0821231603622436,,0.1243202686309814,361.4366433858871,483.3795666456223,432.35680413246155,436.2790086507797,436.9529313087463,625.6939761161805,433.1057841300964,,356.83966999053956,0.0365268403664231,0.0313162505626677,0.0227981887757777,0.0224474417045711,0.0215063873678445,0.0235224746167659,0.5229405164718628,,0.0247249230742454,0.0237293514330667,0.0092861680334147,0.0038245606284055,0.0039718043844849,0.0038718026150942,0.0038088011205188,1.4220420176615909,,0.0169410738522777,0.8215714864317537,0.8490562980963953,0.8962575941676793,0.8969866342648846,0.8974807614418792,0.8939894694208181,0.2985662211421628,,0.8559740785743214
GesturePhaseSegmentationProcessed,68,nn,expected_gradients,na,,,,,,,,0.0028316259384154,,,,,,,,,361.97922134399414,,,,,,,,,0.0302699448540806,,,,,,,,,0.0073925152600324,,,,,,,,,0.859983799108951,
GesturePhaseSegmentationProcessed,128,nn,expected_gradients,na,64.90974595546723,0.0002845525741576,0.0155016899108886,0.0132506847381591,0.0166828870773315,0.0198081016540526,0.0839620351791381,,0.2369614601135254,655.0206706047059,813.5336249113083,764.4967355489731,769.3744476318359,769.6967985868454,973.830431675911,764.0490008592606,,644.5141564846039,0.0251557584851979,0.0227758837863802,0.0195707388222217,0.01814820561558,0.0173358146101235,0.0198779756203293,0.3786845207214355,,0.0262296386063098,0.011225171034864,0.004320569129496,0.0021376719346568,0.0021628550534703,0.0022232459860119,0.0021425236534784,1.4189937630921148,,0.0197762613330099,0.868473066018631,0.8771972458485215,0.8998541919805589,0.9144106925880924,0.921992709599028,0.9097043337383556,0.269501822600243,,0.8382341028756581
GesturePhaseSegmentationProcessed,136,nn,expected_gradients,na,,,,,,,,0.0027288198471068,,,,,,,,,685.6326403141022,,,,,,,,,0.0271060049533843,,,,,,,,,0.0052072853008975,,,,,,,,,0.8732280275415147,
PhishingWebsites,4,nn,sage,permutation,,,,,,,,0.0031154394149779,,,,,,,,,0.5950133323669433,,,,,,,,,0.004010968541963,,,,,,,,,0.1403811340664497,,,,,,,,,0.92,
