size,explainer,strategy,method,kernel,g,num_bins,target_size,model_name,data_modification_method,dataset_name,Group,dataset_id,name,n_features_before_preprocessing,n_classes,n_samples_train,n_samples_test,n_features_after_preprocessing,f1_ann,roc_auc_ann,f1_xgboost,roc_auc_xgboost,task,mse_ann_baseline,mse_ann,improvement_ann_percent,mse_xgboost_baseline,mse_xgboost,improvement_xgboost_percent,compression_coefficient,explainer_total,method_total,mae_mean,mae_std,top_k_mean,top_k_std,explanation_time_mean,explanation_time_std,mmd_mean,mmd_std,compression_time_mean,compression_time_std,unique_samples_mean,unique_samples_std
2,expected_gradients,na,kernel_thinning,no info,no info,no info,2.0,nn,stratified,spambase,large,44,spambase,57,2.0,3190,1097,57,0.9291338582677166,0.979673398635263,0.9395973154362416,0.9908289538850978,classification,no info,no info,no info,no info,no info,no info,0.0625,expected_gradients,kt_stratified,0.06845417395234103,0.003604370784959286,0.5879489516864175,0.03563471602938028,28.4889785528183,7.413386202808069,0.19390744328895004,0.01743070262611193,0.0014419555664062001,0.00012687721957743795,2.0,0.0
2,sage,permutation,kernel_thinning,no info,no info,no info,2.0,nn,stratified,phoneme,small,1489,phoneme,5,2.0,4046,1351,5,0.7390180878552972,0.9252006005073252,0.8060836501901141,0.9525029766526892,classification,no info,no info,no info,no info,no info,no info,0.0625,sage_permutation,kt_stratified,0.0197920062210923,0.010839116224035486,1.0,0.0,1.4435877799987793,1.6418607901397946,0.26252831477754357,0.036413451544774926,0.00107560157775874,0.00010708449267994714,2.0,0.0
2,sage,permutation,kernel_thinning,no info,no info,no info,2.0,xgboost,stratified,phoneme,small,1489,phoneme,5,2.0,4046,1351,5,0.7390180878552972,0.9252006005073252,0.8060836501901141,0.9525029766526892,classification,no info,no info,no info,no info,no info,no info,0.0625,sage_permutation,kt_stratified,0.03832124914755662,0.016805041125514644,1.0,0.0,1.9623135566711425,1.9071760779387805,0.27285730872259445,0.059984708394483194,0.00101706981658932,6.0160844560040663e-05,2.0,0.0
2,shap,kernel,kernel_thinning,no info,no info,no info,2.0,nn,stratified,phoneme,small,1489,phoneme,5,2.0,4046,1351,5,0.7390180878552972,0.9252006005073252,0.8060836501901141,0.9525029766526892,classification,no info,no info,no info,no info,no info,no info,0.0625,shap_kernel,kt_stratified,0.05561825705214166,0.00982158897483267,1.0,0.0,5.018956327438355,0.2306850327716368,0.26252831477754357,0.036413451544774926,0.00100128650665278,7.716213491656272e-05,2.0,0.0
2,shap,kernel,kernel_thinning,no info,no info,no info,2.0,xgboost,stratified,phoneme,small,1489,phoneme,5,2.0,4046,1351,5,0.7390180878552972,0.9252006005073252,0.8060836501901141,0.9525029766526892,classification,no info,no info,no info,no info,no info,no info,0.0625,shap_kernel,kt_stratified,0.06987283446718066,0.006608655575574419,1.0,0.0,5.975205302238464,0.10408486449464026,0.27285730872259445,0.059984708394483194,0.00103414058685299,4.9956673743391556e-05,2.0,0.0
2,shapiq,kernel,kernel_thinning,no info,no info,no info,2.0,nn,stratified,phoneme,small,1489,phoneme,5,2.0,4046,1351,5,0.7390180878552972,0.9252006005073252,0.8060836501901141,0.9525029766526892,classification,no info,no info,no info,no info,no info,no info,0.0625,shapiq_kernel,kt_stratified,0.03179815217578222,0.0009251364089304909,0.6121095484826055,0.016255767686000754,2.4460331439971923,0.05985939626177436,0.26252831477754357,0.036413451544774926,0.00100593566894526,6.720263737568932e-05,2.0,0.0
2,shapiq,kernel,kernel_thinning,no info,no info,no info,2.0,xgboost,stratified,phoneme,small,1489,phoneme,5,2.0,4046,1351,5,0.7390180878552972,0.9252006005073252,0.8060836501901141,0.9525029766526892,classification,no info,no info,no info,no info,no info,no info,0.0625,shapiq_kernel,kt_stratified,0.03292284784592509,0.001762656568244065,0.5964470762398223,0.012683787926106199,3.5209590196609497,0.09525734473987663,0.27285730872259445,0.059984708394483194,0.00136995315551753,0.001026246678637301,2.0,0.0
3,sage,permutation,kernel_thinning,no info,no info,no info,2.0,xgboost,stratified,jm1,small,1053,jm1,21,2.0,6820,2420,21,0.209375,0.6945319972231567,0.3366834170854271,0.6775009630523321,classification,no info,no info,no info,no info,no info,no info,0.09375,sage_permutation,kt_stratified,0.00547279547498771,0.0011354854915189264,0.26,0.1349897115421106,6.921535849571228,3.5170376241018415,0.04455558701390358,0.008525608490592208,0.00224547386169429,0.0002711560819745207,3.0,0.0
3,shap,kernel,kernel_thinning,no info,no info,no info,2.0,xgboost,stratified,jm1,small,1053,jm1,21,2.0,6820,2420,21,0.209375,0.6945319972231567,0.3366834170854271,0.6775009630523321,classification,no info,no info,no info,no info,no info,no info,0.09375,shap_kernel,kt_stratified,0.01724405766528741,0.002679880735625588,0.6153884297520661,0.032510337399181,167.7937577009201,2.8874393725125733,0.04455558701390358,0.008525608490592208,0.00262033939361568,0.0010374291112191668,3.0,0.0
3,shapiq,kernel,kernel_thinning,no info,no info,no info,2.0,xgboost,stratified,jm1,small,1053,jm1,21,2.0,6820,2420,21,0.209375,0.6945319972231567,0.3366834170854271,0.6775009630523321,classification,no info,no info,no info,no info,no info,no info,0.09375,shapiq_kernel,kt_stratified,0.00754653219548649,0.00030493643438474243,0.36146280991735535,0.019463079938624346,966.1321909427643,4.402534034170755,0.04455558701390358,0.008525608490592208,0.00424015522003169,0.0031195158136134364,3.0,0.0
