dataset,repeat,method,time_explanation,time_sample_choose,n_original,n_sample,mmd,mae,top_k
compas,0,cte_shap,26.06677484512329,0.02332592010498047,1235,32,0.00016507949929556176,0.003134775462651751,0.6
compas,0,cte_sage,209.84383273124695,0.02332592010498047,1235,32,0.00016507949929556176,0.012333013997432044,1.0
compas,0,iid_shap,26.102991819381714,5.2928924560546875e-05,1235,32,0.002249694965862803,0.005585284724105276,0.6
compas,0,iid_sage,270.3571858406067,5.2928924560546875e-05,1235,32,0.002249694965862803,0.010398669135420775,1.0
compas,0,cte_stratified_real_shap,19.783354997634888,0.0010030269622802734,1235,24,0.0012490264914561955,0.015646961435052037,0.6
compas,0,cte_stratified_real_sage,147.55787801742554,0.0010030269622802734,1235,24,0.0012490264914561955,0.008724686599347239,1.0
compas,0,cte_stratified_pred_shap,32.05659484863281,0.012220144271850586,1235,40,0.0011556866065343119,0.012770495409257093,0.6
compas,0,cte_stratified_pred_sage,258.47707509994507,0.012220144271850586,1235,40,0.0011556866065343119,0.005389752966108312,0.8
compas,0,cte_with_predictions_shap,25.732460021972656,0.012531042098999023,1235,32,6.006888443566005e-05,0.004998592437773795,0.6
compas,0,cte_with_predictions_sage,165.60841989517212,0.012531042098999023,1235,32,6.006888443566005e-05,0.010930262763764161,1.0
compas,1,cte_shap,25.724130630493164,0.012603998184204102,1235,32,0.0002092830559816683,0.003852058911960812,0.6
compas,1,cte_sage,132.9911630153656,0.012603998184204102,1235,32,0.0002092830559816683,0.026705534207974037,0.8
compas,1,iid_shap,25.798840045928955,5.2928924560546875e-05,1235,32,0.0040680244915680674,0.01305185017802137,0.6
compas,1,iid_sage,151.9925880432129,5.2928924560546875e-05,1235,32,0.0040680244915680674,0.012654469902352807,1.0
compas,1,cte_stratified_real_shap,19.576231002807617,0.000986337661743164,1235,24,0.0014490750745950187,0.022308883188460752,0.8
compas,1,cte_stratified_real_sage,158.8120858669281,0.000986337661743164,1235,24,0.0014490750745950187,0.00789948381844459,1.0
compas,1,cte_stratified_pred_shap,31.858845949172974,0.012616872787475586,1235,40,0.0010621577488558742,0.01408183643372322,0.8
compas,1,cte_stratified_pred_sage,242.45478796958923,0.012616872787475586,1235,40,0.0010621577488558742,0.005221060629331904,1.0
compas,1,cte_with_predictions_shap,25.78898525238037,0.012580156326293945,1235,32,0.00033811292890928435,0.005114164633919798,0.6
compas,1,cte_with_predictions_sage,109.5548369884491,0.012580156326293945,1235,32,0.00033811292890928435,0.031855395547749396,0.8
compas,2,cte_shap,25.74725890159607,0.01287388801574707,1235,32,0.0002056741400646711,0.0037123061463625413,0.6
compas,2,cte_sage,200.11570119857788,0.01287388801574707,1235,32,0.0002056741400646711,0.012635697281538965,1.0
compas,2,iid_shap,25.74870276451111,5.1975250244140625e-05,1235,32,0.004539379450346548,0.006422716578603845,0.8
compas,2,iid_sage,146.41123700141907,5.1975250244140625e-05,1235,32,0.004539379450346548,0.01360452572362957,1.0
compas,2,cte_stratified_real_shap,19.49650001525879,0.0009741783142089844,1235,24,0.001416580285760416,0.009876247411928251,0.8
compas,2,cte_stratified_real_sage,98.59880328178406,0.0009741783142089844,1235,24,0.001416580285760416,0.009852881860503773,1.0
compas,2,cte_stratified_pred_shap,31.853408098220825,0.012266874313354492,1235,40,0.0011076620460230835,0.014766392513674651,0.6
compas,2,cte_stratified_pred_sage,166.41682481765747,0.012266874313354492,1235,40,0.0011076620460230835,0.00909841474261477,1.0
compas,2,cte_with_predictions_shap,25.646615028381348,0.012452125549316406,1235,32,0.0001795717989054868,0.005780284577308769,0.8
compas,2,cte_with_predictions_sage,101.23314619064331,0.012452125549316406,1235,32,0.0001795717989054868,0.01994469350058786,1.0
