dataset,repeat,method,time_explanation,time_sample_choose,n_original,n_sample,mmd,mae,top_k
german,0,cte_shap,27.52882170677185,0.0015461444854736328,200,8,0.004256921955841042,0.008514365402734874,0.0
german,0,cte_sage,71.99005699157715,0.0015461444854736328,200,8,0.004256921955841042,0.011909281523901478,0.2
german,0,iid_shap,26.912895917892456,5.1021575927734375e-05,200,8,0.015708135747041885,0.013119217560567059,0.0
german,0,iid_sage,42.355711221694946,5.1021575927734375e-05,200,8,0.015708135747041885,0.01580459303248272,0.2
german,0,cte_stratified_real_shap,38.75076484680176,0.0002617835998535156,200,12,0.0036417202788598946,0.007664754766575427,0.0
german,0,cte_stratified_real_sage,87.87436890602112,0.0002617835998535156,200,12,0.0036417202788598946,0.006080547024526579,0.4
german,0,cte_stratified_pred_shap,38.98313593864441,0.0002658367156982422,200,12,0.003515862345043974,0.007573280145201727,0.0
german,0,cte_stratified_pred_sage,110.8512499332428,0.0002658367156982422,200,12,0.003515862345043974,0.004221150625680131,0.4
german,0,cte_with_predictions_shap,27.519532203674316,0.00020503997802734375,200,8,0.004256921955841042,0.00855854252963826,0.0
german,0,cte_with_predictions_sage,72.17873406410217,0.00020503997802734375,200,8,0.004256921955841042,0.011909281523901478,0.2
german,1,cte_shap,28.280827045440674,0.00021696090698242188,200,8,0.0043683617834962,0.008993567575385006,0.2
german,1,cte_sage,145.820650100708,0.00021696090698242188,200,8,0.0043683617834962,0.008699192195956123,0.4
german,1,iid_shap,27.701475143432617,5.0067901611328125e-05,200,8,0.016127104269885617,0.009574098182736858,0.2
german,1,iid_sage,90.38850998878479,5.0067901611328125e-05,200,8,0.016127104269885617,0.012809958527747444,0.2
german,1,cte_stratified_real_shap,38.91022801399231,0.00025916099548339844,200,12,0.0039019544244249804,0.007811367657202042,0.0
german,1,cte_stratified_real_sage,524.8617308139801,0.00025916099548339844,200,12,0.0039019544244249804,0.006316525541619783,0.2
german,1,cte_stratified_pred_shap,37.23429727554321,0.0002799034118652344,200,12,0.004472294404687993,0.008707302921152895,0.0
german,1,cte_stratified_pred_sage,95.40208601951599,0.0002799034118652344,200,12,0.004472294404687993,0.005539345683541767,0.2
german,1,cte_with_predictions_shap,27.210967779159546,0.00019216537475585938,200,8,0.0049796408434306105,0.007623342769407561,0.2
german,1,cte_with_predictions_sage,145.48970103263855,0.00019216537475585938,200,8,0.0049796408434306105,0.009542430381730955,0.4
german,2,cte_shap,27.505377054214478,0.0002090930938720703,200,8,0.00463427359048274,0.007288503750385465,0.0
german,2,cte_sage,59.245319843292236,0.0002090930938720703,200,8,0.00463427359048274,0.007422462253072617,0.6
german,2,iid_shap,26.508687019348145,4.8160552978515625e-05,200,8,0.017176834343569203,0.009935744934602048,0.0
german,2,iid_sage,53.06293773651123,4.8160552978515625e-05,200,8,0.017176834343569203,0.014293312523286866,0.2
german,2,cte_stratified_real_shap,37.63007402420044,0.0002760887145996094,200,12,0.0036854963642127814,0.006932357358867197,0.0
german,2,cte_stratified_real_sage,84.75222086906433,0.0002760887145996094,200,12,0.0036854963642127814,0.0066966861483173275,0.4
german,2,cte_stratified_pred_shap,38.770463943481445,0.00026297569274902344,200,12,0.003461979762504397,0.006517293995105832,0.0
german,2,cte_stratified_pred_sage,86.26482200622559,0.00026297569274902344,200,12,0.003461979762504397,0.0061854589236671805,0.2
german,2,cte_with_predictions_shap,28.35838794708252,0.00024199485778808594,200,8,0.00463427359048274,0.007314188215280545,0.0
german,2,cte_with_predictions_sage,60.6784930229187,0.00024199485778808594,200,8,0.00463427359048274,0.007422462253072617,0.6
