dataset,repeat,method,time_explanation,time_sample_choose,n_original,n_sample,mmd,mae,top_k
german,0,iid_shap,26.755797147750854,0.0009810924530029297,200,8,0.015708135747041885,0.013095392789124022,0.0
german,0,iid_sage,41.631919860839844,0.0009810924530029297,200,8,0.015708135747041885,0.01580459303248272,0.2
german,1,iid_shap,27.63607120513916,5.507469177246094e-05,200,8,0.016127104269885617,0.009649522420255754,0.2
german,1,iid_sage,89.08457899093628,5.507469177246094e-05,200,8,0.016127104269885617,0.012809958527747444,0.2
german,2,iid_shap,27.17111301422119,5.0067901611328125e-05,200,8,0.017176834343569203,0.009981468169683207,0.0
german,2,iid_sage,53.59767508506775,5.0067901611328125e-05,200,8,0.017176834343569203,0.014293312523286866,0.2
